,totPop_x,observed_Bladder_Per100k,observed_Bone_Per100k,observed_Brain_Per100k,observed_Breast_Per100k,observed_Colorectal_Per100k,observed_Esophagus_Per100k,observed_Kidney_Per100k,observed_Larynx_Per100k,observed_Leukemia_Per100k,observed_Liver_Per100k,observed_Lung_Per100k,observed_Mesothelioma_Per100k,observed_NHL_Per100k,observed_Nasal_Per100k,observed_Oral_Per100k,observed_Other_Per100k,observed_Ovary_Per100k,observed_Pancreas_Per100k,observed_Prostate_Per100k,observed_Soft_Tissue_Per100k,observed_Stomach_Per100k,observed_Testis_Per100k,observed_Thyroid_Per100k,observed_Uterus_Per100k,observed_Total_Per100k,n_5_1_fugitive_air,n_5_2_stack_air,airTotal,n_5_1_fugitive_air_benzene,n_5_2_stack_air_benzene,benzeneTotal,n_5_1_fugitive_air_toluene,n_5_2_stack_air_toluene,tolueneTotal,n_5_1_fugitive_air_ethylbenzene,n_5_2_stack_air_ethylbenzene,ethylbenzeneTotal,n_5_1_fugitive_air_xylene,n_5_2_stack_air_xylene,xyleneTotal,n_5_1_fugitive_air_formaldehyde,n_5_2_stack_air_formaldehyde,formaldehydeTotal,BTEX_fugitive,BTEX_stack,BTEX_total,n_5_1_fugitive_air_dioxin,n_5_2_stack_air_dioxin,dioxinTotal,pctSmoking,totPop_y,pctMale,pctElderly,income,higherEd,unemploy,FIPS,POP,POINT_CANCER_RISK,NONPOINT_CANCER_RISK,ONROAD_CANCER_RISK,NONROAD_CANCER_RISK,BACKGROUND_CANCER_RISK,SECONDARY_CANCER_RISK,TOTAL_CANCER_RISK,Z_1_1_2_2_TETRACHLOROETHANE,Z_1_1_2_TRICHLOROETHANE,Z_1_2_3_4_5_6_HEXACHLOROCYCLYHEXANE _ALL STEREO ISOMERS_,Z_1_2_DIBROMO_3_CHLOROPROPANE,Z_1_3_BUTADIENE,Z_1_3_DICHLOROPROPENE,Z_1_3_PROPANE SULTONE,Z_1_4_DICHLOROBENZENE,Z_1_4_DIOXANE,Z_2_4_6_TRICHLOROPHENOL,Z_2_4_DINITROTOLUENE,Z_2_4_TOLUENE DIAMINE,Z_2_4_TOLUENE DIISOCYANATE,Z_2_NITROPROPANE,Z_3_3_DICHLOROBENZIDINE,Z_3_3_DIMETHOXYBENZIDINE,Z_3_3_DIMETHYLBENZIDINE,Z_4_4_METHYLENE BIS_2_CHLOROANILINE_,Z_4_4_METHYLENEDIANILINE,Z_4_DIMETHYLAMINOAZOBENZENE,ACETALDEHYDE,ACETAMIDE,ACRYLAMIDE,ACRYLONITRILE,ALLYL CHLORIDE,ANILINE,ARSENIC COMPOUNDS_INORGANIC INCLUDING ARSINE_,BENZENE _INCLUDING BENZENE FROM GASOLINE_,BENZIDINE,BENZOTRICHLORIDE,BENZYL CHLORIDE,BERYLLIUM COMPOUNDS,BIS_2_ETHYLHEXYL_PHTHALATE _DEHP_,BIS_CHLOROMETHYL_ ETHER,BROMOFORM,CADMIUM COMPOUNDS,CAPTAN,CARBON TETRACHLORIDE,CHLORDANE,CHLOROBENZILATE,CHROMIUM COMPOUNDS,COKE OVEN EMISSIONS,CYANIDE COMPOUNDS,DDE _1_1_DICHLORO_2_2_BIS_P_  CHLOROPHENYL_ ETHYLENE_,DICHLOROETHYL ETHER _BIS_2_CHLOROETHYL_ETHER_,DICHLORVOS,EPICHLOROHYDRIN,ETHYL CARBAMATE _URETHANE_ CHLORIDE _CHLOROETHANE_,ETHYLBENZENE,ETHYLENE DIBROMIDE _DIBROMOETHANE_,ETHYLENE DICHLORIDE _1_2_DICHLOROETHANE_,ETHYLENE OXIDE,ETHYLENE THIOUREA,ETHYLIDENE DICHLORIDE _1_1_DICHLOROETHANE_,FORMALDEHYDE,HEPTACHLOR,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HEXACHLOROETHANE,HYDRAZINE,ISOPHORONE,METHYL TERT_BUTYL ETHER,METHYLENE CHLORIDE _DICHLOROMETHANE_,N_NITROSODIMETHYLAMINE,N_NITROSOMORPHOLINE,NAPHTHALENE,NICKEL COMPOUNDS,NITROBENZENE,O_TOLUIDINE,PAHPOM,PENTACHLORONITROBENZENE _QUINTOBENZENE_,PENTACHLOROPHENOL,POLYCHLORINATED BIPHENYLS _AROCLORS_,PROPYLENE DICHLORIDE _1_2_DICHLOROPROPANE_,PROPYLENE OXIDE,TETRACHLOROETHYLENE _PERCHLOROETHYLENE_,TOXAPHENE _CHLORINATED CAMPHENE_,TRICHLOROETHYLENE,TRIFLURALIN,VINYL BROMIDE,VINYL CHLORIDE
totPop_x,1.0,-0.090421182085,-0.0256761326888,-0.072247302332,-0.0418520979609,-0.148966839117,-0.0786036781469,-0.0715121246613,-0.0908146988702,-0.0552176778249,-0.0544411339122,-0.147613638117,-0.0414336645346,-0.0495555013566,-0.0362251922433,-0.0709349504959,-0.104341764279,-0.0470223737595,-0.0807709732265,-0.108254625567,-0.0248052162277,-0.0798408207192,-0.0159751566967,0.010899250771,-0.0956115123147,-0.130297398109,0.00682727455575,-0.0128732270005,-0.0118383962244,0.0197702875959,-0.00818291411783,-0.00581860101627,0.0023266980715,0.0181600298753,0.0125556127789,-0.00398268349487,-0.00253080689017,-0.0032408608548,-0.00607815272286,-0.00741077717944,-0.00727455729191,-0.0124419850892,0.0421478836488,0.0212487989344,-0.00262273538709,0.00137084716831,0.00112013033909,-0.0149260072286,0.00709754703449,0.00634414832222,-0.120903395076,1.0,0.0150751805736,-0.109914967499,0.13401525217,0.103998816906,-0.074150462577,0.0393556719956,0.966539433612,0.0118473104695,0.0786071745191,0.114087823741,0.166622123647,0.0987986783227,0.0834072856803,0.133585651436,0.0225428259855,-0.0282726656752,,0.0223528084203,0.154185398533,0.107983657367,,0.110401337973,-0.00323215048689,-0.0204143864253,0.01936497364,,-0.000760522113139,0.103744557934,,,,-0.0248380025667,-0.0210172300517,-0.024166228614,0.122191926643,0.138138624117,0.00742046821125,0.0618012147728,0.0115453995917,-0.0475592811821,0.135479527113,0.146423856405,-0.098251324676,,0.0641475381252,0.191007805696,0.0949666669192,0.0302951155317,-0.00528171162974,0.124211823038,,0.0107959865201,,,0.061697460693,-0.0236814698307,,,0.0134280917312,,0.0378830193564,-0.0043297473016,0.131593596477,0.0122222819575,0.0949566505061,0.0452837750186,,0.0148766228593,0.137577988357,,-0.0462081747732,0.0134338842449,-0.0245608035011,0.0316078798954,0.127532716767,0.172584028045,0.151570653895,-0.0250009341349,-0.0250238842405,0.122656760409,0.0820660929411,0.0124970634344,-0.0203441940543,-0.0652575710042,-0.0250023958698,-0.0255043175263,-0.0851858394867,0.0777367870284,0.0230592296953,0.0914939065319,,-0.0163109667738,-0.0735617844886,0.00689357432081,0.0151951061153
observed_Bladder_Per100k,-0.090421182085,1.0,0.0526180352736,0.466083003032,0.631286411393,0.621042165973,0.297143074263,0.488843736455,0.332779370711,0.46379253274,0.23472278715,0.653721361846,0.267144918897,0.504000274114,0.297733509105,0.250313789899,0.658216448667,0.328963656811,0.51534469817,0.536544777834,0.231496772847,0.170776970207,0.137305547568,0.294721457029,0.359506515936,0.790178989079,0.0284431985504,0.00756549965239,0.009984311437,0.0143197486467,0.0167130509312,0.0172514147498,0.0326541801966,0.0135111095794,0.029948993622,0.0225553358407,0.0227098110157,0.0226467445872,0.0408862137113,0.0188544071486,0.0239333400434,0.00288490108149,0.00848611777252,0.00752066475772,0.0292792675358,0.00448234337227,0.0062177074101,-0.0185579641661,0.0114337846482,0.010461738067,0.169962803385,-0.090421182085,-0.00599449860924,0.445912284762,0.138538197331,0.181141130895,-0.22367895325,0.0528305908477,-0.065961619367,-0.0705681047363,-0.247257630297,-0.151653446009,-0.240068571979,-0.245099095387,-0.336224058091,-0.283099044538,0.0389252213576,0.0303687484969,,-0.0971395464456,-0.276497960734,-0.36488348618,,-0.321878765277,0.0132459025583,0.016214257429,-0.18893357044,,-0.0203454750886,-0.352986702813,,,,0.0945073534811,0.0152388683125,0.0927811582368,-0.314304493686,-0.356324862581,-0.00956099267293,-0.0763847752098,-0.180182282817,0.0375692405195,-0.220952778959,-0.232878529759,0.203274215511,,-0.186665605211,-0.276675197661,-0.219217160779,0.00620990629642,0.021479774088,-0.223166958179,,-0.158375902313,,,-0.151778235611,0.114360404806,,,-0.0728574435974,,-0.207350056439,0.0207219659028,-0.240520630854,-0.0190592146931,-0.193679693391,-0.318792909663,,0.0576779205816,-0.297567705066,,0.122431747351,-0.0738163762336,0.0950345891076,-0.247845717696,-0.340575823636,-0.269199708832,-0.268055480056,0.0974575915478,0.0974525267255,-0.297826771103,-0.138930521342,-0.172197613245,-0.0056433622577,0.130755446725,0.0974679100033,0.0984516127224,0.176344915282,-0.290543376784,-0.187263082629,-0.299238291383,,-0.199963673994,0.049214597773,-0.0116616670919,-0.186716080021
observed_Bone_Per100k,-0.0256761326888,0.0526180352736,1.0,0.0210073747182,0.0530159454611,0.0681647324248,0.0413125546649,0.0420320552567,0.0127991870814,0.0677086554377,0.0119217807241,0.0524215845842,-0.0255250986778,0.047104627937,0.027368362954,0.0170896717815,0.0284778901567,0.042165205752,0.0911255670248,0.0392036137228,0.00537388293988,0.0179925577563,0.07241986072,0.0805553665844,0.0583133604364,0.0773088465987,0.00703042173359,-0.0101809550522,-0.00921043175432,-0.0145517448484,-0.00942622362125,-0.0103652511673,0.00995518898115,-0.00787084634782,0.00186450201908,0.027243665707,0.0264065452388,0.0268294970845,0.0212890164319,0.0220893584394,0.0223602425726,0.0528897738489,-0.00386376744479,0.0291823154443,-0.0139802800375,-0.00775770538976,-0.00828435419146,-0.00633246831459,-0.000585902681156,-0.000856840761584,-0.00511916203194,-0.0256761326888,0.0156398775947,0.0664610979181,0.0160208380966,0.0115977947963,-0.000631359090858,-0.0141885458586,-0.0162860058498,-0.0144212994725,-0.0145813844507,0.0103608183732,-0.00817966685504,0.0284517289552,-0.00600475584115,-0.00253416868481,0.0129831735413,-0.00590715960573,,-0.00200606520522,0.00496392715416,-0.00408565735292,,0.011827492905,0.0255335482088,0.00707171160211,-0.00949237040856,,-0.0096721291524,-0.00335909531815,,,,-0.010085630859,-0.0185634277724,-0.00969306114563,-0.00294686249839,-0.0036335048577,-0.011946543691,0.00660408620456,-0.00525997580364,-0.01133740029,0.000102776696111,0.00802745949233,0.00358161940236,,-0.0184569880275,-0.00567498516347,0.00152021754382,-0.00404018183155,-0.00967866589926,-0.0114329291477,,-0.0182560353082,,,-0.0198346526354,-0.00606650719154,,,-0.00130474952312,,-0.0192295332754,-0.00182102006098,-0.00361972499725,0.00303702796309,-0.00442958927828,-0.0031053645394,,0.0117616903248,-0.0036179741824,,-0.0143029682295,-0.000703603431064,-0.00997946273637,-0.00594538137428,-0.00490566216821,-0.0030300353561,-0.00509865705101,-0.0102697289688,-0.0102887261497,-0.00407914346493,-0.0169743401886,0.00265840120523,0.00494138441503,-0.0173119913705,-0.0102694623578,-0.0103767523205,-0.0164368436776,0.0103793431077,-0.00777351100391,-0.00230577256661,,-0.0137041892417,-0.0105977989519,-0.0137242980498,-0.00688751380709
observed_Brain_Per100k,-0.072247302332,0.466083003032,0.0210073747182,1.0,0.420469265691,0.437979260787,0.169629168261,0.332837727176,0.293485954668,0.332142981472,0.202278304511,0.468634288872,0.219923022213,0.327342402401,0.278252923594,0.0918412296466,0.43382444051,0.203315576596,0.405727288249,0.340667691342,0.1115425304,0.143265155436,0.0920497303222,0.141325564848,0.239794282968,0.538981785131,-0.00339623917187,0.0117965699658,0.0111150294366,0.0475895312345,0.0439139990149,0.0463062734351,-0.0177881474124,-0.0128717724922,-0.0196546240733,-0.00115309910245,-0.00119037023293,-0.00117282427321,-0.00409957947187,-0.00790608901182,-0.00725180784841,0.0329918225016,-0.00277561928838,0.0179543318189,0.0167992966485,-0.00991065431975,-0.0082440066164,-0.0133013394256,-0.00353480481039,-0.00407271701054,0.0813206766236,-0.072247302332,-0.000352500717054,0.204320830087,0.0807133987891,0.118050743777,-0.126668024844,0.0235856972577,-0.056353158671,-0.0417899581666,-0.0923934462612,-0.0775566756573,-0.091150533963,-0.119016449437,-0.13783858379,-0.118639334375,0.0194058104142,0.00637658380124,,-0.040495193901,-0.122233185974,-0.156063288492,,-0.140912391101,-0.0129053580256,0.0101519044786,-0.0738910448269,,-0.0167991910403,-0.150081002017,,,,0.0410016872653,-0.00312483160129,0.0397168660343,-0.131734154055,-0.154899161405,-0.00689374573853,-0.0359362653241,-0.0744008541899,0.00680912912266,-0.0940139668963,-0.102589952431,0.0912106221149,,-0.0777494073766,-0.110834659197,-0.0930286244884,0.00871854502682,0.0102087372904,-0.0864742477982,,-0.0798497194132,,,-0.0714468820034,0.0362846280729,,,-0.029300147029,,-0.0675628608057,0.000700337659786,-0.0957638216035,-0.0102468216662,-0.0737579871908,-0.139095300479,,0.0289808212117,-0.123183213622,,0.059707034698,-0.0298257164006,0.0401465050563,-0.101174855032,-0.14659304589,-0.111367144611,-0.121157447189,0.0406832873736,0.0406673534277,-0.121908002767,-0.0485619867754,-0.0729158440667,0.000788477199445,0.075274661523,0.0406838270259,0.0411561687549,0.0843801855437,-0.129829286553,-0.0757327158202,-0.124521984888,,-0.104909298609,0.00885644373082,-0.000348581296728,-0.075072821803
observed_Breast_Per100k,-0.0418520979609,0.631286411393,0.0530159454611,0.420469265691,1.0,0.629625990093,0.283780686668,0.503096696441,0.316552617755,0.478545826239,0.248274729222,0.610982580471,0.263722781659,0.533909156599,0.300238709116,0.290886425741,0.676929523608,0.378707511284,0.467632833087,0.625683259916,0.269503967158,0.230358661641,0.171221888359,0.363556842591,0.405588390667,0.836804139124,0.0140652614794,-0.000727114062526,0.000607171018948,0.0101250995839,0.00511051996051,0.00583900182961,0.00667169517011,-0.00468907607812,0.00160450548487,0.0258584871043,0.0255986430425,0.0257393801519,0.0279699891929,0.0206683396532,0.0226398999447,0.00490111126493,0.00927140841114,0.00926889012992,0.00385350508058,-0.00644157890156,-0.00583522224155,-0.0223275226916,0.00160920706463,0.000604159927325,0.0298899357329,-0.0418520979609,-0.0674840940514,0.444592317143,0.284664775789,0.325636550657,-0.251317722579,0.091952013643,-0.0125247452776,-0.0656413857535,-0.21266565605,-0.0826788268408,-0.156135352643,-0.156145591433,-0.243709421671,-0.201183116572,0.0427313459884,-0.00424322242391,,-0.0793757495714,-0.173201177257,-0.292214561581,,-0.234417080853,-0.00752938543271,-0.00589255910932,-0.178051917609,,-0.0238439815256,-0.287851328028,,,,0.0484563931485,-0.00773655243837,0.0474862756528,-0.220540760723,-0.291844929312,-0.0235496418821,-0.0354144280137,-0.178000570744,0.0191648389098,-0.149845497211,-0.155241094662,0.122026846973,,-0.159206692203,-0.19419437586,-0.133499171283,0.000818580909617,-0.00733199853419,-0.16711036756,,-0.134465708982,,,-0.129634407155,0.0604595393188,,,-0.0659781907452,,-0.191003015906,0.0372373924477,-0.168515725287,-0.00835422676518,-0.121334230936,-0.234581263228,,0.0537626974088,-0.203672203135,,0.0585578481912,-0.0677833807811,0.049045599857,-0.19718679489,-0.277657904831,-0.173252825595,-0.191298522136,0.0507514778934,0.0507591378811,-0.223805421772,-0.114343119472,-0.160010032193,-0.0481406056822,0.0538824922352,0.0507717390178,0.051210473069,0.0783844675281,-0.177276709003,-0.177929047402,-0.214413226191,,-0.166485485598,0.0161001373302,-0.0228363542504,-0.174075105431
observed_Colorectal_Per100k,-0.148966839117,0.621042165973,0.0681647324248,0.437979260787,0.629625990093,1.0,0.31218588406,0.503259344219,0.416923567845,0.451671725398,0.333665004427,0.665341130845,0.26778124014,0.472336560442,0.348960375183,0.253403255181,0.635721992462,0.364512275481,0.503737602911,0.521849233374,0.245698856065,0.321442625626,0.112160259616,0.304922718091,0.411141694039,0.814446818624,0.00023801146386,-0.00514856803815,-0.00496715889394,0.010608214469,0.0172783802096,0.0174232346602,0.00206644267983,0.00791676316254,0.00617470395916,0.000365472617104,0.00109597315799,0.000740001873735,0.00589011249494,-0.00409312933322,-0.00204439567637,0.0148435036624,-0.00035161249176,0.00868954884996,0.0414718851569,0.0175712605012,0.0194260427092,-0.0242061214846,0.00644662196269,0.00529335667346,0.0936031361329,-0.148966839117,-0.0748435209841,0.454662462454,0.00498340015758,0.0437426315981,-0.0919056661361,0.0086626877261,-0.116925993851,-0.03623808422,-0.152369575092,-0.0717391360783,-0.141833948313,-0.124982220337,-0.171769919571,-0.156743046558,0.0159394210713,0.0133558592187,,-0.0319905267863,-0.145471694077,-0.191911030613,,-0.161064210386,-0.0285182699588,0.0134918828004,-0.123046822887,,-0.00730596528708,-0.191841749864,,,,0.0488704772708,0.0205000696479,0.0482009394672,-0.16582784664,-0.193353175585,-0.00617603279597,-0.0345623261632,-0.116604962483,0.0332827246914,-0.148014822921,-0.130740795976,0.0808656866661,,-0.129308043413,-0.172953862312,-0.0949051826313,-0.0153095648697,0.0205418106043,-0.15155948255,,-0.0936250419473,,,-0.103090703372,0.0535944472605,,,-0.0222204759301,,-0.12665466616,0.0230434112914,-0.133417325114,-0.0112612447089,-0.105235772636,-0.145258313027,,0.0220817325784,-0.161157636179,,0.0704638938834,-0.0230175545632,0.0488721219735,-0.138170470202,-0.178641925341,-0.137344393356,-0.170532263326,0.049618787426,0.0496416742307,-0.162667632299,-0.115056183989,-0.0978371129433,-0.0216958512255,0.0770406188208,0.0496442790632,0.0502253382776,0.099658558538,-0.130152815456,-0.124729694283,-0.159707715997,,-0.123674127462,0.0158513457885,-0.0295226591335,-0.117223478362
observed_Esophagus_Per100k,-0.0786036781469,0.297143074263,0.0413125546649,0.169629168261,0.283780686668,0.31218588406,1.0,0.25638266558,0.195436275038,0.207619609603,0.125422701647,0.366411631885,0.21130567643,0.24160106674,0.13239124512,0.15041538621,0.323636337761,0.137405665495,0.227833014513,0.280010615551,0.0872058471238,0.100552116023,0.0703059203367,0.131900858737,0.238005918623,0.402297438192,0.024122296038,0.0158491223599,0.0176087867256,0.018403057279,0.00775415541006,0.00915780409823,0.000680648540238,0.015415261046,0.00979531911177,0.0286901854859,0.029273592417,0.0290047240928,0.0265455505412,0.0266622024847,0.0271704333071,0.0592747892271,0.00612778308657,0.0398348035167,0.00988498430911,0.00851264553973,0.00872228874655,0.00687855331652,0.00712048831597,0.00732701069229,0.151927757207,-0.0786036781469,-0.0112158981964,0.253712742477,-0.0146461813872,0.0330350805501,-0.0474155635131,-0.00480231823744,-0.0531480091173,-0.0386796491182,-0.150606888386,-0.102284160234,-0.143942520421,-0.189492548483,-0.211153566365,-0.180080456652,0.00882992245747,0.0215255075183,,-0.105877931027,-0.170580379153,-0.2263009596,,-0.209806213492,0.00112413259372,0.0661917268698,-0.101915462783,,-0.00639353818861,-0.215643878852,,,,0.0659580868364,0.0509955054196,0.0645659279682,-0.198278711147,-0.214396186687,-0.0027145471516,-0.0722259750921,-0.105333736061,0.0708793337503,-0.144779946743,-0.147938611239,0.144930432539,,-0.10277555274,-0.16347248899,-0.169203455624,0.00331155140019,-0.00714059237627,-0.125853123996,,-0.0698012586641,,,-0.100173493181,0.0821758539449,,,-0.0847275052667,,-0.143098087973,-0.00239312220431,-0.157733851614,-0.054247370613,-0.153097851653,-0.212490354374,,0.0221566310232,-0.188031146555,,0.087213078756,-0.0854579334536,0.0655378563376,-0.127694299276,-0.203613719301,-0.173975072618,-0.165746408409,0.0665952597633,0.0665972197343,-0.193540699191,-0.0837348224465,-0.120518710834,0.0131100438948,0.109402932139,0.0665955439777,0.0673295615829,0.125444557898,-0.238139824066,-0.106066062717,-0.206366538805,,-0.121518836643,0.0322659544064,-0.0170101053768,-0.106384955685
observed_Kidney_Per100k,-0.0715121246613,0.488843736455,0.0420320552567,0.332837727176,0.503096696441,0.503259344219,0.25638266558,1.0,0.28471700726,0.331241578411,0.228367495461,0.530746557643,0.280656464975,0.408535351472,0.269953807164,0.217166508507,0.477660537659,0.28723626437,0.359043157558,0.39482325684,0.165059360653,0.196268393275,0.129537576852,0.263133660111,0.374751905983,0.632731178918,0.0202771315467,0.00734007296976,0.00900424533092,0.0295326722335,-0.00183244874102,0.00116045081796,0.0131486743278,0.0200991645953,0.0209426515042,0.00790177577827,0.00748503476969,0.00769251683797,0.022502717872,0.00609496169473,0.00971850280389,0.00382975729003,0.000762695547198,0.00282377843744,0.0340750821614,0.0139919793421,0.0155398853345,0.00951918629872,0.0234649328578,0.0235664750445,0.0775022763593,-0.0715121246613,-0.0278364427352,0.306337933736,0.0858194326392,0.101715056439,-0.138176115237,0.0493462192367,-0.053070244053,-0.0535273185156,-0.186026335429,-0.0607967032965,-0.1663778313,-0.148004737587,-0.220721335997,-0.182906775262,0.00829537662549,-0.0186010051105,,-0.0805571938291,-0.165484701711,-0.244983186064,,-0.198936496814,0.00504154707485,0.0191686688652,-0.143234395074,,-0.019131367193,-0.24003941618,,,,0.0173566914463,0.00263192467822,0.0167647007416,-0.200442105666,-0.24003222593,0.00502973728962,-0.0573496842133,-0.1411806585,0.0295374707305,-0.155706251805,-0.139465409396,0.120010744701,,-0.155480396631,-0.195281352915,-0.135317332829,0.00387416334569,-0.0261465735585,-0.167172594911,,-0.127057916339,,,-0.109938513807,0.0266742838063,,,-0.0545769836324,,-0.139181013637,0.0243955233451,-0.154262281414,-0.0466335361367,-0.145564240964,-0.207588006318,,0.0203926529957,-0.189619450997,,0.0348520264452,-0.0564219910275,0.0176865603906,-0.146251184282,-0.236618237767,-0.167096931751,-0.179654521108,0.0186839174507,0.0186753330706,-0.19271483857,-0.120211077561,-0.128580468106,-0.0501671851254,0.0677635489575,0.0186882677446,0.0192094651581,0.0861075142525,-0.173459588729,-0.14334602576,-0.19904981764,,-0.140049098973,0.00344026201371,-0.0187382440725,-0.143598883399
observed_Larynx_Per100k,-0.0908146988702,0.332779370711,0.0127991870814,0.293485954668,0.316552617755,0.416923567845,0.195436275038,0.28471700726,1.0,0.227884908998,0.252244611112,0.497154598954,0.215583048988,0.196276534644,0.298168143815,0.148862646089,0.322021229108,0.159774388167,0.278435264118,0.219824371078,0.0702065831189,0.171440017162,0.0690055094358,0.0611489100967,0.186625770252,0.445219728127,0.00175013740057,-0.0132531725997,-0.0126801131568,-0.0122529413596,-0.0120412915964,-0.0126191320412,-0.00323284623505,-3.21381832838e-05,-0.00217388895447,0.00330205908442,0.00295921216697,0.00312816738792,0.00568835658627,-0.00320512265297,-0.0013712049731,-0.00988352781214,-0.00560239245243,-0.00976483975976,0.00345171808622,-0.0122938020571,-0.011399993228,-0.0109686184025,-0.00823315813813,-0.00860473609606,0.146950663178,-0.0908146988702,-0.0127591021576,0.145934754653,-0.105373292626,-0.0765198501401,0.0410223599618,-0.0411987137108,-0.0711010301712,-0.0146913023137,-0.061476325419,-0.0540369731039,-0.086332207845,-0.118933446268,-0.121385384121,-0.0953548736298,0.00270521485343,-0.0069553609115,,-0.0490625603439,-0.0929073372593,-0.112340440346,,-0.108772964587,-0.00249689296568,0.00807921749295,-0.0546208988673,,0.0315466796348,-0.110427776365,,,,0.0131285412453,0.0388789066533,0.0127530883638,-0.113942880151,-0.105903860115,-0.00394516237179,-0.0462851116612,-0.0555457542413,0.0525832891433,-0.0944584388944,-0.0763163160736,0.0921151560133,,-0.0774618759681,-0.0921461921718,-0.109385131232,-0.0115842280548,-0.012165735699,-0.0848675337961,,-0.072365934557,,,-0.0480738712622,0.0182434128369,,,-0.029763039749,,-0.0590464544631,0.00955345285764,-0.0712838859103,-0.00571851398929,-0.094097094136,-0.103995586988,,0.0130320636076,-0.109742824171,,0.0388171113686,-0.0303371983542,0.013414186699,-0.0922585632901,-0.10431822507,-0.0990852983106,-0.0891475540011,0.0141448129407,0.0141204410869,-0.0841893171703,-0.0561335266857,-0.0682488576628,-0.0154751345558,0.098531712183,0.0141422788531,0.014770099056,0.10094662007,-0.135070143856,-0.0563418258112,-0.121034116438,,-0.0635816713525,0.0283100227805,-0.0226022464556,-0.0568656285448
observed_Leukemia_Per100k,-0.0552176778249,0.46379253274,0.0677086554377,0.332142981472,0.478545826239,0.451671725398,0.207619609603,0.331241578411,0.227884908998,1.0,0.165420931549,0.479170591159,0.163249608903,0.408951706436,0.18091859117,0.1671241522,0.504547975042,0.218687962552,0.40879520183,0.391335654449,0.16612129977,0.129950392661,0.123499004555,0.213404949846,0.275120245869,0.591765464154,-0.000828279236006,-0.0100928734996,-0.00985801777489,0.0431580452986,0.000410081422347,0.00462365982435,-0.00349665563755,0.0121489507679,0.00503210590758,0.0190730927508,0.019488412733,0.0192962749451,0.0213084240199,0.0240137421072,0.0239165540584,0.0225147559762,0.0131803837122,0.0225294063514,0.000157924939676,-0.00484441719609,-0.00457335758271,-0.0192165646174,0.0159002310385,0.0148387148451,0.0994990324907,-0.0552176778249,-0.0109119711335,0.382803023589,0.12341608527,0.15738091752,-0.169167994322,0.0599082029045,-0.0351418404272,-0.0742311339242,-0.210743228268,-0.120877771534,-0.193228565375,-0.179565272837,-0.242136600362,-0.22566399373,0.016953229301,0.00673144952897,,-0.0808083846938,-0.204920814202,-0.272804382106,,-0.241942329299,-0.021154353374,0.0146293483801,-0.161311971409,,-0.0153258629967,-0.269095779876,,,,0.0575503195406,-0.0261221237262,0.0567270762988,-0.23727171202,-0.26724653065,-0.00339436788563,-0.0694317590197,-0.157897131477,0.0360652896226,-0.190151776828,-0.188726332224,0.158913932467,,-0.153796281132,-0.219599549045,-0.155786486643,-0.0094661473656,0.00251897939544,-0.193960456417,,-0.111515160427,,,-0.140366160517,0.0756248837639,,,-0.0611543078761,,-0.169185781399,0.0165672273697,-0.196420391987,-0.0438532000131,-0.165597202102,-0.232059368787,,0.0342555808913,-0.229744124394,,0.0708834710353,-0.0620596293275,0.0584462763749,-0.207002014587,-0.254683096194,-0.207152748247,-0.221879787839,0.0603066763114,0.0602766207796,-0.236129416126,-0.138068593778,-0.145750745625,-0.0266710277114,0.0708710869278,0.0602910790982,0.0608953228024,0.103300368006,-0.215168116412,-0.164047859388,-0.229737164475,,-0.158879468364,0.0300733231034,-0.00654625832404,-0.160203135409
