,year,tri_facility_id,facility_name,street_address,city,county,st,zip,latitude_x,longitude_x,primary_sic,sic_2,sic_3,sic_4,sic_5,sic_6,primary_naics,naics_2,naics_3,naics_4,naics_5,naics_6,doc_ctrl_num,chemical,cas_compound_id,clean_air_act_chemical,classification,metal,metal_category,carcinogen,form_type,unit_of_measure,n_5_1_fugitive_air,n_5_2_stack_air,n_5_3_water,n_5_4_1_underground_class_i,n_5_4_2_underground_class_ii_v,n_5_5_1a_rcra_c_landfills,n_5_5_1b_other_landfills,n_5_5_2_land_treatment,n_5_5_3_surface_impoundment,n_5_5_3a_rcra_c_surface_impoundment,n_5_5_3b_other_surface_impoundment,n_5_5_4_other_disposal,on_site_release_total,n_6_1_potw_metals_and_metal_compounds,n_6_1_potw_non_metals,n_6_1_potw_total_transfers,n_6_2_m10,n_6_2_m41,n_6_2_m62,n_6_2_m71,n_6_2_m81,n_6_2_m82,n_6_2_m72,n_6_2_m63,n_6_2_m66,n_6_2_m67,n_6_2_m64,n_6_2_m65,n_6_2_m73,n_6_2_m79,n_6_2_m90,n_6_2_m94,n_6_2_m99,off_site_release_total,n_6_2_m20,n_6_2_m24,n_6_2_m26,n_6_2_m28,n_6_2_m93,off_site_recycled_total,n_6_2_m56,n_6_2_m92,off_site_recovery_total,n_6_2_m40,n_6_2_m50,n_6_2_m54,n_6_2_m61,n_6_2_m69,n_6_2_m95,off_site_treated_total,total_releases,n_8_1_releases,n_8_1a_on_site_contained_releases,n_8_1b_on_site_other_releases,n_8_1c_off_site_contained_releases,n_8_1d_off_site_other_releases,n_8_2_energy_recovery_on_site,n_8_3_energy_recovery_off_site,n_8_4_recycling_on_site,n_8_5_recycling_off_site,n_8_6_treatment_on_site,n_8_7_treatement_off_site,production_waste_8_1_thru_8_7,n_8_8_one_time_release,n_8_9_production_ratio,parent_company_name,parent_company_db_number,serialid,Unnamed: 0,Unnamed: 0.1,geoid,latitude_y,longitude_y
0,2000,14701BLCKS1111A,TITANX ENGINE COOLING INC,2258 ALLEN ST,JAMESTOWN,CHAUTAUQUA,NY,14701,42.113056,-79.207472,3714.0,,,,,,336399.0,,,,,,1300140063470,COPPER,007440508,NO,NON-PBT,YES,1,NO,R,Pounds,5.0,250.0,3.0,0,0,0,0.0,0,0.0,0,0,0.0,258.0,0.0,0.0,0.0,0,0,0,0,0,0,2065.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,2065.0,0,202198.0,0.0,0,0.0,202198.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2323.0,2098.0,0,0.0,0.0,0.0,0.0,0.0,0,202198.0,0.0,0.0,204296.0,0.0,1.04,,,1,,,3.60130373004e+14,42.113056,-79.207472
1,2000,14750LRCHP2120F,ULRICH PLANFILING EQUIPMENT CORP,2120 FOURTH AVE,LAKEWOOD,CHAUTAUQUA,NY,14750,42.09236,-79.35171,3499.0,,,,,,337214.0,,,,,,1300140060308,COPPER,007440508,NO,NON-PBT,YES,1,NO,R,Pounds,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,9.0,0.0,9.0,0,0,0,0,0,0,3.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,3.0,0,8629.0,0.0,0,0.0,8629.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,12.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,8629.0,0.0,10.0,8642.0,0.0,1.25,,,2,,,3.60130371002e+14,42.09236,-79.35171
2,2000,10034MGCNV304DY,MAGIC NOVELTY CO INC,308 DYCKMAN ST,NEW YORK,NEW YORK,NY,10034,40.86779,-73.92997,3915.0,,,,,,339914.0,,,,,,1300140001900,NITRIC ACID,007697372,NO,NON-PBT,NO,0,NO,R,Pounds,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,11037.0,0.0,11037.0,0.0,1.02,MAGIC NOVELTY CO INC,1313816.0,3,,,3.60610297001e+14,40.86779,-73.92997
3,2000,13476DRYLCWARDS,H P HOOD LLC,19 WARD ST,VERNON,ONEIDA,NY,134760930,43.083639,-75.537806,2023.0,2026.0,,,,,311511.0,,,,,,1300140057631,AMMONIA,007664417,NO,NON-PBT,NO,0,NO,R,Pounds,250.0,250.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,500.0,0.0,5.0,5.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,500.0,529.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,521.0,1050.0,521.0,0.99,HP HOOD LLC,1008697.0,4,,,3.60659402002e+14,43.083639,-75.537806
4,2000,12306NSLTNONECA,VON ROLL USA INC,200 VON ROLL DR,SCHENECTADY,SCHENECTADY,NY,123062442,42.806556,-73.984694,3299.0,2295.0,2821.0,2851.0,,,327999.0,,,,,,1300140064813,DICYCLOPENTADIENE,000077736,NO,NON-PBT,NO,0,NO,R,Pounds,5.0,750.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,755.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,755.0,600.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,600.0,0.0,1.06,VON ROLL AG,,5,,,3.60930326023e+14,42.806556,-73.984694
5,2000,14214WLLMS2978M,WILLIAMS ADVANCED MATERIALS INC,2978 MAIN ST,BUFFALO,ERIE,NY,14214,42.946853,-78.830736,3356.0,3341.0,3469.0,3471.0,,,331492.0,,,,,,1300140065020,NITRIC ACID,007697372,NO,NON-PBT,NO,0,NO,R,Pounds,250.0,96.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,346.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,346.0,96.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,94554.0,0.0,94650.0,0.0,1.16,BRUSH ENGINEERED MATERIALS,622913080.0,6,,,3.60290045002e+14,42.946853,-78.830736
6,2000,13088STRTHBURRD,STRATHMORE PRODUCTS INC,BURR DR,CLAY,ONONDAGA,NY,13041,43.118623,-76.195092,2851.0,,,,,,325510.0,,,,,,1300140015203,CERTAIN GLYCOL ETHERS,N230,YES,NON-PBT,NO,0,NO,R,Pounds,43.0,10.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,53.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,738.0,0.0,738.0,0,0.0,0.0,0.0,0,0.0,0.0,53.0,53.0,0,0.0,0.0,0.0,0.0,738.0,80,0.0,0.0,0.0,871.0,0.0,1.06,,,7,,,3.60670111023e+14,43.118623,-76.195092
7,2000,14518LDRLN729CR,ELDERLEE INC,729 CROSS RD,OAKS CORNERS,ONTARIO,NY,14518,42.932476,-77.007518,3479.0,3441.0,3993.0,,,,332812.0,,,,,,1300140006230,ZINC COMPOUNDS,N982,NO,NON-PBT,YES,1,NO,R,Pounds,5.0,2710.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,2715.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,94708.0,0.0,0,0.0,94708.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2715.0,2310.0,0,0.0,0.0,0.0,0.0,0.0,0,223361.0,0.0,0.0,225671.0,0.0,1.1,REH HOLDINGS INC,121728083.0,8,,,3.60690504002e+14,42.932476,-77.007518
8,2000,14304THGDY5408B,GOODYEAR TIRE & RUBBER CO,5500 GOODYEAR DR,NIAGARA FALLS,NIAGARA,NY,143043110,43.08493,-79.00174,2869.0,,,,,,325199.0,,,,,,1300140003878,DIPHENYLAMINE,000122394,NO,NON-PBT,NO,0,NO,R,Pounds,365.0,1143.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,1508.0,0.0,63.0,63.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,11133.0,4939.0,16072.0,0,1680.0,0.0,0.0,0,0.0,1680.0,1508.0,1508.0,0,0.0,0.0,0.0,0.0,16072.0,0,0.0,0.0,1743.0,19323.0,0.0,0.94,THE GOODYEAR TIRE & RUBBER CO,4467924.0,9,,,3.60630220003e+14,43.08493,-79.00174
9,2000,12550SNCNC1184R,GLOBAL COS LLC SOUTH TERMINAL,1184  RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.480278,-74.014139,5171.0,,,,,,424710.0,,,,,,1300140033679,N-HEXANE,000110543,YES,NON-PBT,NO,0,NO,R,Pounds,23.0,53.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,76.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,76.0,76.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,76.0,0.0,1.0,GLOBAL COS LLC,19177757.0,10,,,3.60710127004e+14,41.480278,-74.014139
