geoid10,dohregion
360010001001,360010001001
360010001002,360010001002
360010002001,360010002001
360010002002,360010002002
360010003001,360010003001
360010003002,360010003002
360010003003,360010003003
360010003004,360010003004
360010004011,360010004011
360010004031,360010004031
360010004032,360010004032
360010004033,360010004033
360010004034,360010004034
360010005011,360010005011
360010005014,360010005014
360010006003,360010006003
360010007001,360010007001
360010007002,360010007002
360010007003,360010007003
360010007004,360010007004
360010008003,360010008003
360010011001,360010011001
360010014001,360010014001
360010014002,360010014002
360010014003,360010014003
360010015001,360010015001
360010016001,360010016001
360010016002,360010016002
360010016003,360010016003
360010016004,360010016004
360010017001,360010017001
360010017002,360010017002
360010017003,360010017003
360010017004,360010017004
360010018011,360010018011
360010018012,360010018012
360010018013,360010018013
360010018014,360010018014
360010018015,360010018015
360010018021,360010018021
360010018022,360010018022
360010018023,360010018023
360010018024,360010018024
360010019011,360010019011
360010019012,360010019012
360010019013,360010019013
360010019021,360010019021
360010019022,360010019022
360010019023,360010019023
360010020001,360010020001
360010020002,360010020002
360010020003,360010020003
360010020004,360010020004
360010020005,360010020005
360010021001,360010021001
360010022001,360010022001
360010022002,360010022002
360010023001,360010023001
360010023002,360010023002
360010025001,360010025001
360010026001,360010026001
360010026002,360010026002
360010026003,360010026003
360010026004,360010026004
360010127001,360010127001
360010128003,360010128003
360010128004,360010128004
360010129001,360010129001
360010129002,360010129002
360010130001,360010130001
360010130002,360010130002
360010130003,360010130003
360010130004,360010130004
360010130005,360010130005
360010131001,360010131001
360010131002,360010131002
360010131003,360010131003
360010132002,360010132002
360010132004,360010132004
360010132005,360010132005
360010133001,360010133001
360010133002,360010133002
360010133003,360010133003
360010133004,360010133004
360010134001,360010134001
360010134002,360010134002
360010134003,360010134003
360010135031,360010135031
360010135032,360010135032
360010135033,360010135033
360010135051,360010135051
360010135052,360010135052
360010135061,360010135061
360010135062,360010135062
360010135063,360010135063
360010135071,360010135071
360010135072,360010135072
360010135081,360010135081
360010135082,360010135082
360010135083,360010135083
360010136011,360010136011
360010136012,360010136012
360010136013,360010136013
360010136014,360010136014
360010136015,360010136015
360010136021,360010136021
360010136022,360010136022
360010136023,360010136023
360010137031,360010137031
360010137051,360010137051
360010137052,360010137052
360010137053,360010137053
360010137054,360010137054
360010137061,360010137061
360010137071,360010137071
360010137072,360010137072
360010137073,360010137073
360010138011,360010138011
360010138012,360010138012
360010138013,360010138013
360010138014,360010138014
360010138015,360010138015
360010138016,360010138016
360010138017,360010138017
360010138021,360010138021
360010138022,360010138022
360010138023,360010138023
360010139011,360010139011
360010139012,360010139012
360010139021,360010139021
360010139022,360010139022
360010139023,360010139023
360010140011,360010140011
360010140012,360010140012
360010140013,360010140013
360010140021,360010140021
360010140022,360010140022
360010140023,360010140023
360010140024,360010140024
360010141001,360010141001
360010141002,360010141002
360010141003,360010141003
360010141004,360010141004
360010142011,360010142011
360010142012,360010142012
360010142013,360010142013
360010142014,360010142014
360010142021,360010142021
360010142022,360010142022
360010142023,360010142023
360010142024,360010142024
360010142031,360010142031
360010142032,360010142032
360010142033,360010142033
360010142034,360010142034
360010142035,360010142035
360010143011,360010143011
360010143012,360010143012
360010143021,360010143021
360010143022,360010143022
360010143023,360010143023
360010143024,360010143024
360010144011,360010144011
360010144012,360010144012
360010144013,360010144013
360010144021,360010144021
360010144022,360010144022
360010145021,360010145021
360010145022,360010145022
360010145023,360010145023
360010145031,360010145031
360010145032,360010145032
360010146061,360010146061
360010146071,360010146071
360010146072,360010146072
360010146073,360010146073
360010146074,360010146074
360010146075,360010146075
360010146082,360010146082
360010146091,360010146091
360010146092,360010146092
360010146093,360010146093
360010146111,360010146111
360010146112,360010146112
360010146121,360010146121
360010146131,360010146131
360010146132,360010146132
360010146133,360010146133
360010146141,360010146141
360010146142,360010146142
360010146143,360010146143
360010146144,360010146144
360010146151,360010146151
360010147001,360010147001
360010147002,360010147002
360010148011,360010148011
360010148012,360010148012
360010148023,360010148023
360010148031,360010148031
360010148032,360010148032
360039501001,360039501001
360039501002,360039501002
360039501003,360039501003
360039503001,360039503001
360039503002,360039503002
360039503003,360039503003
360039504001,360039504001
360039504002,360039504002
360039504003,360039504003
360039505002,360039505002
360039506001,360039506001
360039506002,360039506002
360039506003,360039506003
360039507001,360039507001
360039507002,360039507002
360039507003,360039507003
360039508001,360039508001
360039508002,360039508002
360039508003,360039508003
360039509001,360039509001
360039509002,360039509002
360039509003,360039509003
360039509004,360039509004
360039510001,360039510001
360039510002,360039510002
360039510003,360039510003
360039511001,360039511001
360039511002,360039511002
360039511003,360039511003
360039511004,360039511004
360039512002,360039512002
360039512004,360039512004
360039512005,360039512005
360039512006,360039512006
360039513001,360039513001
360039513004,360039513004
360050001001,360050001001
360050002001,360050002001
360050002002,360050002002
360050002003,360050002003
360050004001,360050004001
360050004003,360050004003
360050016001,360050016001
360050016003,360050016003
360050019003,360050019003
360050020001,360050020001
360050020002,360050020002
360050020004,360050020004
360050023001,360050023001
360050025002,360050025002
360050025003,360050025003
360050025004,360050025004
360050027011,360050027011
360050027012,360050027012
360050027023,360050027023
360050027024,360050027024
360050028001,360050028001
360050028002,360050028002
360050028003,360050028003
360050028004,360050028004
360050031001,360050031001
360050033003,360050033003
360050038001,360050038001
360050039003,360050039003
360050039005,360050039005
360050040011,360050040011
360050041001,360050041001
360050041002,360050041002
360050042002,360050042002
360050042003,360050042003
360050042004,360050042004
360050043001,360050043001
360050043002,360050043002
360050043003,360050043003
360050043004,360050043004
360050044001,360050044001
360050044003,360050044003
360050046001,360050046001
360050048001,360050048001
360050048002,360050048002
360050050011,360050050011
360050050012,360050050012
360050050013,360050050013
360050050014,360050050014
360050050023,360050050023
360050050024,360050050024
360050051003,360050051003
360050056003,360050056003
360050059021,360050059021
360050059022,360050059022
360050060001,360050060001
360050062001,360050062001
360050062002,360050062002
360050062003,360050062003
360050062004,360050062004
360050062005,360050062005
360050063003,360050063003
360050063004,360050063004
360050063006,360050063006
360050064001,360050064001
360050064003,360050064003
360050065001,360050065001
360050065002,360050065002
360050067001,360050067001
360050067003,360050067003
360050067004,360050067004
360050067005,360050067005
360050068003,360050068003
360050069001,360050069001
360050069003,360050069003
360050070001,360050070001
360050072001,360050072001
360050072002,360050072002
360050073003,360050073003
360050074001,360050074001
360050074002,360050074002
360050074003,360050074003
360050075001,360050075001
360050075002,360050075002
360050075003,360050075003
360050075004,360050075004
360050078001,360050078001
360050078002,360050078002
360050079006,360050079006
360050083003,360050083003
360050083004,360050083004
360050083005,360050083005
360050083006,360050083006
360050085001,360050085001
360050085004,360050085004
360050085005,360050085005
360050086001,360050086001
360050086002,360050086002
360050086003,360050086003
360050087001,360050087001
360050087002,360050087002
360050087003,360050087003
360050087004,360050087004
360050087005,360050087005
360050089001,360050089001
360050089002,360050089002
360050090003,360050090003
360050090005,360050090005
360050092005,360050092005
360050093003,360050093003
360050096001,360050096001
360050096002,360050096002
360050098001,360050098001
360050098002,360050098002
360050098003,360050098003
360050098004,360050098004
360050098005,360050098005
360050115022,360050115022
360050118001,360050118001
360050118002,360050118002
360050118003,360050118003
360050119002,360050119002
360050119004,360050119004
360050121011,360050121011
360050121012,360050121012
360050123001,360050123001
360050125001,360050125001
360050125002,360050125002
360050127011,360050127011
360050127012,360050127012
360050129011,360050129011
360050129012,360050129012
360050130001,360050130001
360050131001,360050131001
360050131002,360050131002
360050131003,360050131003
360050132003,360050132003
360050132004,360050132004
360050132005,360050132005
360050133001,360050133001
360050133002,360050133002
360050133003,360050133003
360050133004,360050133004
360050135001,360050135001
360050135002,360050135002
360050135003,360050135003
360050138001,360050138001
360050138002,360050138002
360050141003,360050141003
360050143001,360050143001
360050144001,360050144001
360050144002,360050144002
360050144003,360050144003
360050144004,360050144004
360050144005,360050144005
360050144006,360050144006
360050145001,360050145001
360050145002,360050145002
360050147011,360050147011
360050147012,360050147012
360050147013,360050147013
360050147021,360050147021
360050147022,360050147022
360050147023,36005DOH0057
360050147024,36005DOH0057
360050149003,360050149003
360050151001,360050151001
360050151002,360050151002
360050151003,360050151003
360050151004,360050151004
360050152001,360050152001
360050152002,360050152002
360050153001,360050153001
360050155001,360050155001
360050155002,360050155002
360050157001,360050157001
360050158001,360050158001
360050160001,360050160001
360050160002,360050160002
360050160003,360050160003
360050160004,360050160004
