,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.1,10,0.0
BTEX_stack,0.255,observed_Bladder_Per100k,0.0,0,0.182
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.32,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.06,17,0.813
unemploy,0.255,observed_Bladder_Per100k,-266.47,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.68,1,0.161
BTEX_stack,0.004,observed_Bone_Per100k,-0.0,0,0.0
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.821
pctElderly,0.004,observed_Bone_Per100k,15.37,8,0.073
income,0.004,observed_Bone_Per100k,0.0,0,0.354
higherEd,0.004,observed_Bone_Per100k,-1.04,1,0.584
unemploy,0.004,observed_Bone_Per100k,5.04,8,0.575
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.87,3,0.189
BTEX_stack,0.06,observed_Brain_Per100k,-0.0,0,0.007
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.83,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.025
higherEd,0.06,observed_Brain_Per100k,10.56,7,0.133
unemploy,0.06,observed_Brain_Per100k,-58.13,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.88,18,0.07
BTEX_stack,0.279,observed_Breast_Per100k,-0.0,0,0.0
pctSmoking,0.279,observed_Breast_Per100k,4.47,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.12,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.37,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.61,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.209,observed_Colorectal_Per100k,75.87,17,0.0
BTEX_stack,0.209,observed_Colorectal_Per100k,0.0,0,0.0
pctSmoking,0.209,observed_Colorectal_Per100k,2.17,1,0.046
pctElderly,0.209,observed_Colorectal_Per100k,1274.77,52,0.0
income,0.209,observed_Colorectal_Per100k,0.0,0,0.567
higherEd,0.209,observed_Colorectal_Per100k,-49.71,29,0.092
unemploy,0.209,observed_Colorectal_Per100k,-148.86,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.72,3,0.012
BTEX_stack,0.082,observed_Esophagus_Per100k,0.0,0,0.0
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.46,13,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.344
higherEd,0.082,observed_Esophagus_Per100k,-0.5,4,0.906
unemploy,0.082,observed_Esophagus_Per100k,-7.87,14,0.595
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14.25,7,0.048
BTEX_stack,0.103,observed_Kidney_Per100k,0.0,0,0.0
pctSmoking,0.103,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.103,observed_Kidney_Per100k,324.03,31,0.0
income,0.103,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.103,observed_Kidney_Per100k,-5.14,10,0.636
unemploy,0.103,observed_Kidney_Per100k,-107.46,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.72,3,0.386
BTEX_stack,0.042,observed_Larynx_Per100k,-0.0,0,0.0
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.43,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.179
higherEd,0.042,observed_Larynx_Per100k,-9.49,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.82,14,0.356
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.175,observed_Leukemia_Per100k,-15.8,5,0.008
BTEX_stack,0.175,observed_Leukemia_Per100k,-0.0,0,0.014
pctSmoking,0.175,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.175,observed_Leukemia_Per100k,352.83,19,0.0
income,0.175,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.175,observed_Leukemia_Per100k,4.68,8,0.563
unemploy,0.175,observed_Leukemia_Per100k,-85.12,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.13,5,0.0
BTEX_stack,0.042,observed_Liver_Per100k,-0.0,0,0.0
pctSmoking,0.042,observed_Liver_Per100k,-1.33,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.51,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15.35,7,0.03
unemploy,0.042,observed_Liver_Per100k,21.71,25,0.389
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.229,observed_Lung_Per100k,-84.19,20,0.0
BTEX_stack,0.229,observed_Lung_Per100k,-0.0,0,0.0
pctSmoking,0.229,observed_Lung_Per100k,13.79,1,0.0
pctElderly,0.229,observed_Lung_Per100k,1644.3,68,0.0
income,0.229,observed_Lung_Per100k,0.0,0,0.002
higherEd,0.229,observed_Lung_Per100k,-80.99,40,0.047
unemploy,0.229,observed_Lung_Per100k,-219.92,112,0.05
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.032,observed_Mesothelioma_Per100k,-8.5,2,0.001
BTEX_stack,0.032,observed_Mesothelioma_Per100k,-0.0,0,0.0
pctSmoking,0.032,observed_Mesothelioma_Per100k,0.37,0,0.0
pctElderly,0.032,observed_Mesothelioma_Per100k,35.9,9,0.0
income,0.032,observed_Mesothelioma_Per100k,0.0,0,0.0
higherEd,0.032,observed_Mesothelioma_Per100k,-1.37,2,0.549
unemploy,0.032,observed_Mesothelioma_Per100k,0.78,10,0.941
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.215,observed_NHL_Per100k,-13.7,7,0.071
BTEX_stack,0.215,observed_NHL_Per100k,0.0,0,0.175
pctSmoking,0.215,observed_NHL_Per100k,1.48,0,0.0
pctElderly,0.215,observed_NHL_Per100k,498.12,25,0.0
income,0.215,observed_NHL_Per100k,0.0,0,0.0
higherEd,0.215,observed_NHL_Per100k,38.23,11,0.001
unemploy,0.215,observed_NHL_Per100k,-115.13,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.009,observed_Nasal_Per100k,0.14,1,0.909
BTEX_stack,0.009,observed_Nasal_Per100k,-0.0,0,0.0
pctSmoking,0.009,observed_Nasal_Per100k,0.19,0,0.012
pctElderly,0.009,observed_Nasal_Per100k,11.5,3,0.001
income,0.009,observed_Nasal_Per100k,0.0,0,0.759
higherEd,0.009,observed_Nasal_Per100k,-1.54,1,0.436
unemploy,0.009,observed_Nasal_Per100k,-10.12,5,0.058
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.066,observed_Oral_Per100k,1.82,5,0.732
BTEX_stack,0.066,observed_Oral_Per100k,0.0,0,0.929
pctSmoking,0.066,observed_Oral_Per100k,1.42,0,0.0
pctElderly,0.066,observed_Oral_Per100k,165.02,15,0.0
income,0.066,observed_Oral_Per100k,0.0,0,0.003
higherEd,0.066,observed_Oral_Per100k,-3.31,6,0.625
unemploy,0.066,observed_Oral_Per100k,-12.26,19,0.537
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.316,observed_Other_Per100k,-151.17,20,0.0
BTEX_stack,0.316,observed_Other_Per100k,0.0,0,0.007
pctSmoking,0.316,observed_Other_Per100k,7.47,1,0.0
pctElderly,0.316,observed_Other_Per100k,1829.51,98,0.0
income,0.316,observed_Other_Per100k,0.0,0,0.0
higherEd,0.316,observed_Other_Per100k,138.8,32,0.0
unemploy,0.316,observed_Other_Per100k,-36.52,98,0.712
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.084,observed_Ovary_Per100k,5.02,4,0.242
BTEX_stack,0.084,observed_Ovary_Per100k,0.0,0,0.002
pctSmoking,0.084,observed_Ovary_Per100k,0.25,0,0.151
pctElderly,0.084,observed_Ovary_Per100k,160.21,11,0.0
income,0.084,observed_Ovary_Per100k,0.0,0,0.105
higherEd,0.084,observed_Ovary_Per100k,11.71,5,0.041
unemploy,0.084,observed_Ovary_Per100k,-37.7,14,0.011
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.177,observed_Pancreas_Per100k,-20.66,7,0.009
BTEX_stack,0.177,observed_Pancreas_Per100k,-0.0,0,0.72
pctSmoking,0.177,observed_Pancreas_Per100k,0.8,0,0.027
pctElderly,0.177,observed_Pancreas_Per100k,485.52,42,0.0
income,0.177,observed_Pancreas_Per100k,0.0,0,0.0
higherEd,0.177,observed_Pancreas_Per100k,-0.07,9,0.994
unemploy,0.177,observed_Pancreas_Per100k,8.6,41,0.834
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.199,observed_Prostate_Per100k,-60.57,22,0.007
BTEX_stack,0.199,observed_Prostate_Per100k,-0.0,0,0.0
pctSmoking,0.199,observed_Prostate_Per100k,7.4,1,0.0
pctElderly,0.199,observed_Prostate_Per100k,1244.36,92,0.0
income,0.199,observed_Prostate_Per100k,0.0,0,0.0
higherEd,0.199,observed_Prostate_Per100k,115.48,35,0.001
unemploy,0.199,observed_Prostate_Per100k,20.96,98,0.831
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.024,observed_Soft_Tissue_Per100k,8.28,2,0.002
BTEX_stack,0.024,observed_Soft_Tissue_Per100k,-0.0,0,0.0
pctSmoking,0.024,observed_Soft_Tissue_Per100k,-0.09,0,0.452
pctElderly,0.024,observed_Soft_Tissue_Per100k,59.24,8,0.0
income,0.024,observed_Soft_Tissue_Per100k,0.0,0,0.257
higherEd,0.024,observed_Soft_Tissue_Per100k,2.4,4,0.582
unemploy,0.024,observed_Soft_Tissue_Per100k,-12.49,10,0.255
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.081,observed_Stomach_Per100k,67.33,7,0.0
BTEX_stack,0.081,observed_Stomach_Per100k,0.0,0,0.436
pctSmoking,0.081,observed_Stomach_Per100k,-1.65,0,0.0
pctElderly,0.081,observed_Stomach_Per100k,187.96,20,0.0
income,0.081,observed_Stomach_Per100k,-0.0,0,0.0
higherEd,0.081,observed_Stomach_Per100k,-17.46,6,0.012
unemploy,0.081,observed_Stomach_Per100k,31.26,35,0.373
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.036,observed_Testis_Per100k,-4.23,2,0.108
BTEX_stack,0.036,observed_Testis_Per100k,-0.0,0,0.0
pctSmoking,0.036,observed_Testis_Per100k,0.35,0,0.0
pctElderly,0.036,observed_Testis_Per100k,25.23,10,0.012
income,0.036,observed_Testis_Per100k,0.0,0,0.001
higherEd,0.036,observed_Testis_Per100k,10.15,2,0.001
unemploy,0.036,observed_Testis_Per100k,-17.59,10,0.11
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.118,observed_Thyroid_Per100k,35.95,7,0.0
BTEX_stack,0.118,observed_Thyroid_Per100k,-0.0,0,0.0
pctSmoking,0.118,observed_Thyroid_Per100k,-0.16,0,0.537
pctElderly,0.118,observed_Thyroid_Per100k,166.36,21,0.0
income,0.118,observed_Thyroid_Per100k,0.0,0,0.0
higherEd,0.118,observed_Thyroid_Per100k,19.69,9,0.041
unemploy,0.118,observed_Thyroid_Per100k,-162.04,32,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.108,observed_Uterus_Per100k,25.28,7,0.001
BTEX_stack,0.108,observed_Uterus_Per100k,0.0,0,0.011
pctSmoking,0.108,observed_Uterus_Per100k,0.19,0,0.516
pctElderly,0.108,observed_Uterus_Per100k,348.96,36,0.0
income,0.108,observed_Uterus_Per100k,0.0,0,0.125
higherEd,0.108,observed_Uterus_Per100k,15.42,9,0.089
unemploy,0.108,observed_Uterus_Per100k,-33.91,26,0.194
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.336,observed_Total_Per100k,-174.93,94,0.063
BTEX_stack,0.336,observed_Total_Per100k,0.0,0,0.653
pctSmoking,0.336,observed_Total_Per100k,48.18,8,0.0
pctElderly,0.336,observed_Total_Per100k,11318.85,392,0.0
income,0.336,observed_Total_Per100k,0.01,0,0.0
higherEd,0.336,observed_Total_Per100k,337.59,220,0.126
unemploy,0.336,observed_Total_Per100k,-1468.02,524,0.005
