,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77,11,0.0
airTotal,0.255,observed_Bladder_Per100k,0,0,0.644
pctSmoking,0.255,observed_Bladder_Per100k,5,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752,26,0.0
income,0.255,observed_Bladder_Per100k,0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4,13,0.768
unemploy,0.255,observed_Bladder_Per100k,-266,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2,1,0.083
airTotal,0.004,observed_Bone_Per100k,0,0,0.603
pctSmoking,0.004,observed_Bone_Per100k,0,0,0.846
pctElderly,0.004,observed_Bone_Per100k,15,3,0.0
income,0.004,observed_Bone_Per100k,0,0,0.28
higherEd,0.004,observed_Bone_Per100k,-1,1,0.574
unemploy,0.004,observed_Bone_Per100k,5,5,0.341
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4,4,0.315
airTotal,0.06,observed_Brain_Per100k,0,0,0.552
pctSmoking,0.06,observed_Brain_Per100k,0,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123,11,0.0
income,0.06,observed_Brain_Per100k,0,0,0.052
higherEd,0.06,observed_Brain_Per100k,10,5,0.067
unemploy,0.06,observed_Brain_Per100k,-58,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33,20,0.096
airTotal,0.279,observed_Breast_Per100k,0,0,0.797
pctSmoking,0.279,observed_Breast_Per100k,4,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1309,47,0.0
income,0.279,observed_Breast_Per100k,0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75,17,0.0
airTotal,0.208,observed_Colorectal_Per100k,0,0,0.707
pctSmoking,0.208,observed_Colorectal_Per100k,2,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1274,42,0.0
income,0.208,observed_Colorectal_Per100k,0,0,0.587
higherEd,0.208,observed_Colorectal_Per100k,-49,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9,3,0.009
airTotal,0.082,observed_Esophagus_Per100k,0,0,0.386
pctSmoking,0.082,observed_Esophagus_Per100k,1,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132,8,0.0
income,0.082,observed_Esophagus_Per100k,0,0,0.384
higherEd,0.082,observed_Esophagus_Per100k,0,4,0.912
unemploy,0.082,observed_Esophagus_Per100k,-7,12,0.541
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14,7,0.071
airTotal,0.102,observed_Kidney_Per100k,0,0,0.589
pctSmoking,0.102,observed_Kidney_Per100k,1,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,324,18,0.0
income,0.102,observed_Kidney_Per100k,0,0,0.002
higherEd,0.102,observed_Kidney_Per100k,-5,9,0.586
unemploy,0.102,observed_Kidney_Per100k,-107,26,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2,3,0.46
airTotal,0.042,observed_Larynx_Per100k,0,0,0.267
pctSmoking,0.042,observed_Larynx_Per100k,0,0,0.0
