,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-76,11,0.0
benzeneTotal,0.255,observed_Bladder_Per100k,0,0,0.503
pctSmoking,0.255,observed_Bladder_Per100k,5,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752,26,0.0
income,0.255,observed_Bladder_Per100k,0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4,13,0.769
unemploy,0.255,observed_Bladder_Per100k,-266,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2,1,0.086
benzeneTotal,0.004,observed_Bone_Per100k,0,0,0.483
pctSmoking,0.004,observed_Bone_Per100k,0,0,0.848
pctElderly,0.004,observed_Bone_Per100k,15,3,0.0
income,0.004,observed_Bone_Per100k,0,0,0.276
higherEd,0.004,observed_Bone_Per100k,-1,1,0.575
unemploy,0.004,observed_Bone_Per100k,5,5,0.332
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.062,observed_Brain_Per100k,-4,4,0.347
benzeneTotal,0.062,observed_Brain_Per100k,0,0,0.006
pctSmoking,0.062,observed_Brain_Per100k,0,0,0.0
pctElderly,0.062,observed_Brain_Per100k,123,11,0.0
income,0.062,observed_Brain_Per100k,0,0,0.056
higherEd,0.062,observed_Brain_Per100k,10,5,0.067
unemploy,0.062,observed_Brain_Per100k,-59,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33,20,0.096
benzeneTotal,0.279,observed_Breast_Per100k,0,0,0.934
pctSmoking,0.279,observed_Breast_Per100k,4,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1309,47,0.0
income,0.279,observed_Breast_Per100k,0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,76,17,0.0
benzeneTotal,0.208,observed_Colorectal_Per100k,0,0,0.457
pctSmoking,0.208,observed_Colorectal_Per100k,2,0,0.001
pctElderly,0.208,observed_Colorectal_Per100k,1274,42,0.0
income,0.208,observed_Colorectal_Per100k,0,0,0.592
higherEd,0.208,observed_Colorectal_Per100k,-49,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-149,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9,3,0.009
benzeneTotal,0.082,observed_Esophagus_Per100k,0,0,0.884
pctSmoking,0.082,observed_Esophagus_Per100k,1,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132,8,0.0
income,0.082,observed_Esophagus_Per100k,0,0,0.386
higherEd,0.082,observed_Esophagus_Per100k,0,4,0.909
unemploy,0.082,observed_Esophagus_Per100k,-7,12,0.535
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14,7,0.073
benzeneTotal,0.102,observed_Kidney_Per100k,0,0,0.844
pctSmoking,0.102,observed_Kidney_Per100k,1,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,324,18,0.0
income,0.102,observed_Kidney_Per100k,0,0,0.002
higherEd,0.102,observed_Kidney_Per100k,-5,9,0.585
unemploy,0.102,observed_Kidney_Per100k,-107,26,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2,3,0.474
benzeneTotal,0.042,observed_Larynx_Per100k,0,0,0.242
pctSmoking,0.042,observed_Larynx_Per100k,0,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75,8,0.0
income,0.042,observed_Larynx_Per100k,0,0,0.297
higherEd,0.042,observed_Larynx_Per100k,-9,4,0.031
unemploy,0.042,observed_Larynx_Per100k,14,12,0.26
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.175,observed_Leukemia_Per100k,-15,6,0.013
benzeneTotal,0.175,observed_Leukemia_Per100k,0,0,0.924
pctSmoking,0.175,observed_Leukemia_Per100k,1,0,0.0
pctElderly,0.175,observed_Leukemia_Per100k,352,14,0.0
income,0.175,observed_Leukemia_Per100k,0,0,0.0
higherEd,0.175,observed_Leukemia_Per100k,4,7,0.54
unemploy,0.175,observed_Leukemia_Per100k,-85,21,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70,5,0.0
benzeneTotal,0.042,observed_Liver_Per100k,0,0,0.849
pctSmoking,0.042,observed_Liver_Per100k,-1,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96,12,0.0
income,0.042,observed_Liver_Per100k,0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15,6,0.016
unemploy,0.042,observed_Liver_Per100k,21,18,0.23
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.229,observed_Lung_Per100k,-83,25,0.001
benzeneTotal,0.229,observed_Lung_Per100k,0,0,0.761
pctSmoking,0.229,observed_Lung_Per100k,13,0,0.0
pctElderly,0.229,observed_Lung_Per100k,1644,60,0.0
income,0.229,observed_Lung_Per100k,0,0,0.016
higherEd,0.229,observed_Lung_Per100k,-80,30,0.009
unemploy,0.229,observed_Lung_Per100k,-220,87,0.012
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.032,observed_Mesothelioma_Per100k,-8,1,0.0
benzeneTotal,0.032,observed_Mesothelioma_Per100k,0,0,0.92
pctSmoking,0.032,observed_Mesothelioma_Per100k,0,0,0.0
pctElderly,0.032,observed_Mesothelioma_Per100k,35,4,0.0
income,0.032,observed_Mesothelioma_Per100k,0,0,0.0
higherEd,0.032,observed_Mesothelioma_Per100k,-1,2,0.533
unemploy,0.032,observed_Mesothelioma_Per100k,0,6,0.902
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.216,observed_NHL_Per100k,-13,8,0.115
benzeneTotal,0.216,observed_NHL_Per100k,0,0,0.027
pctSmoking,0.216,observed_NHL_Per100k,1,0,0.0
pctElderly,0.216,observed_NHL_Per100k,497,19,0.0
income,0.216,observed_NHL_Per100k,0,0,0.0
higherEd,0.216,observed_NHL_Per100k,38,10,0.0
unemploy,0.216,observed_NHL_Per100k,-116,28,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.009,observed_Nasal_Per100k,0,1,0.932
benzeneTotal,0.009,observed_Nasal_Per100k,0,0,0.49
pctSmoking,0.009,observed_Nasal_Per100k,0,0,0.0
pctElderly,0.009,observed_Nasal_Per100k,11,3,0.0
income,0.009,observed_Nasal_Per100k,0,0,0.787
higherEd,0.009,observed_Nasal_Per100k,-1,1,0.359
unemploy,0.009,observed_Nasal_Per100k,-10,4,0.035
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.067,observed_Oral_Per100k,2,5,0.687
benzeneTotal,0.067,observed_Oral_Per100k,0,0,0.015
pctSmoking,0.067,observed_Oral_Per100k,1,0,0.0
pctElderly,0.067,observed_Oral_Per100k,164,12,0.0
income,0.067,observed_Oral_Per100k,0,0,0.004
higherEd,0.067,observed_Oral_Per100k,-3,6,0.606
unemploy,0.067,observed_Oral_Per100k,-13,18,0.469
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.316,observed_Other_Per100k,-150,22,0.0
benzeneTotal,0.316,observed_Other_Per100k,0,0,0.314
pctSmoking,0.316,observed_Other_Per100k,7,0,0.0
pctElderly,0.316,observed_Other_Per100k,1828,52,0.0
income,0.316,observed_Other_Per100k,0,0,0.0
higherEd,0.316,observed_Other_Per100k,138,26,0.0
unemploy,0.316,observed_Other_Per100k,-37,76,0.619
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.084,observed_Ovary_Per100k,4,4,0.269
benzeneTotal,0.084,observed_Ovary_Per100k,0,0,0.135
pctSmoking,0.084,observed_Ovary_Per100k,0,0,0.09
pctElderly,0.084,observed_Ovary_Per100k,160,10,0.0
income,0.084,observed_Ovary_Per100k,0,0,0.084
