,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.108,10,0.0
dioxinTotal,0.255,observed_Bladder_Per100k,0.88,9,0.929
pctSmoking,0.255,observed_Bladder_Per100k,5.178,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.299,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.051,17,0.814
unemploy,0.255,observed_Bladder_Per100k,-266.426,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.003,observed_Bone_Per100k,2.679,1,0.161
dioxinTotal,0.003,observed_Bone_Per100k,-0.101,1,0.924
pctSmoking,0.003,observed_Bone_Per100k,-0.011,0,0.818
pctElderly,0.003,observed_Bone_Per100k,15.376,8,0.073
income,0.003,observed_Bone_Per100k,0.0,0,0.355
higherEd,0.003,observed_Bone_Per100k,-1.039,1,0.585
unemploy,0.003,observed_Bone_Per100k,5.035,8,0.576
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.896,3,0.187
dioxinTotal,0.06,observed_Brain_Per100k,-3.27,2,0.198
pctSmoking,0.06,observed_Brain_Per100k,0.966,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.85,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.025
higherEd,0.06,observed_Brain_Per100k,10.562,7,0.133
unemploy,0.06,observed_Brain_Per100k,-58.215,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.942,18,0.07
dioxinTotal,0.279,observed_Breast_Per100k,-8.398,19,0.66
pctSmoking,0.279,observed_Breast_Per100k,4.474,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.185,55,0.0
income,0.279,observed_Breast_Per100k,0.001,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.378,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.852,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.778,17,0.0
dioxinTotal,0.208,observed_Colorectal_Per100k,1.5,13,0.912
pctSmoking,0.208,observed_Colorectal_Per100k,2.176,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.611,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.561
higherEd,0.208,observed_Colorectal_Per100k,-49.817,29,0.092
unemploy,0.208,observed_Colorectal_Per100k,-148.592,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.721,3,0.012
dioxinTotal,0.082,observed_Esophagus_Per100k,0.323,3,0.928
pctSmoking,0.082,observed_Esophagus_Per100k,1.072,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.449,13,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.343
higherEd,0.082,observed_Esophagus_Per100k,-0.508,4,0.904
unemploy,0.082,observed_Esophagus_Per100k,-7.849,14,0.596
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14.363,7,0.046
dioxinTotal,0.103,observed_Kidney_Per100k,11.732,6,0.077
pctSmoking,0.103,observed_Kidney_Per100k,1.379,0,0.0
pctElderly,0.103,observed_Kidney_Per100k,323.97,31,0.0
income,0.103,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.103,observed_Kidney_Per100k,-5.12,10,0.638
unemploy,0.103,observed_Kidney_Per100k,-107.183,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.693,3,0.391
dioxinTotal,0.042,observed_Larynx_Per100k,-3.617,1,0.064
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.454,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.18
higherEd,0.042,observed_Larynx_Per100k,-9.49,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.726,14,0.36
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.175,observed_Leukemia_Per100k,-15.735,5,0.008
dioxinTotal,0.175,observed_Leukemia_Per100k,4.426,7,0.531
pctSmoking,0.175,observed_Leukemia_Per100k,1.651,0,0.0
pctElderly,0.175,observed_Leukemia_Per100k,352.842,19,0.0
income,0.175,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.175,observed_Leukemia_Per100k,4.713,8,0.56
unemploy,0.175,observed_Leukemia_Per100k,-85.064,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.048,5,0.0
dioxinTotal,0.042,observed_Liver_Per100k,-7.36,2,0.013
pctSmoking,0.042,observed_Liver_Per100k,-1.322,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.528,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15.374,7,0.03
unemploy,0.042,observed_Liver_Per100k,21.559,25,0.392
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.229,observed_Lung_Per100k,-83.844,20,0.0
dioxinTotal,0.229,observed_Lung_Per100k,23.761,15,0.126
pctSmoking,0.229,observed_Lung_Per100k,13.762,1,0.0
pctElderly,0.229,observed_Lung_Per100k,1644.361,68,0.0
income,0.229,observed_Lung_Per100k,0.0,0,0.002
higherEd,0.229,observed_Lung_Per100k,-80.827,40,0.048
unemploy,0.229,observed_Lung_Per100k,-219.617,112,0.051
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.032,observed_Mesothelioma_Per100k,-8.51,2,0.001
dioxinTotal,0.032,observed_Mesothelioma_Per100k,-0.941,1,0.517
pctSmoking,0.032,observed_Mesothelioma_Per100k,0.369,0,0.0
pctElderly,0.032,observed_Mesothelioma_Per100k,35.905,9,0.0
income,0.032,observed_Mesothelioma_Per100k,0.0,0,0.0
higherEd,0.032,observed_Mesothelioma_Per100k,-1.368,2,0.548
unemploy,0.032,observed_Mesothelioma_Per100k,0.759,10,0.943
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.215,observed_NHL_Per100k,-13.554,7,0.074
