,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.169,10,0.0
ethylbenzeneTotal,0.255,observed_Bladder_Per100k,0.002,0,0.0
pctSmoking,0.255,observed_Bladder_Per100k,5.181,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.796,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,3.982,17,0.817
unemploy,0.255,observed_Bladder_Per100k,-266.15,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.671,1,0.162
ethylbenzeneTotal,0.004,observed_Bone_Per100k,0.0,0,0.0
pctSmoking,0.004,observed_Bone_Per100k,-0.011,0,0.824
pctElderly,0.004,observed_Bone_Per100k,15.277,8,0.075
income,0.004,observed_Bone_Per100k,0.0,0,0.349
higherEd,0.004,observed_Bone_Per100k,-1.051,1,0.58
unemploy,0.004,observed_Bone_Per100k,5.094,8,0.571
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.85,3,0.191
ethylbenzeneTotal,0.06,observed_Brain_Per100k,-0.0,0,0.004
pctSmoking,0.06,observed_Brain_Per100k,0.962,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.906,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.026
higherEd,0.06,observed_Brain_Per100k,10.585,7,0.132
unemploy,0.06,observed_Brain_Per100k,-58.192,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.948,18,0.07
ethylbenzeneTotal,0.279,observed_Breast_Per100k,0.003,0,0.0
pctSmoking,0.279,observed_Breast_Per100k,4.471,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1308.072,55,0.0
income,0.279,observed_Breast_Per100k,0.001,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.273,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.063,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.797,17,0.0
ethylbenzeneTotal,0.208,observed_Colorectal_Per100k,-0.001,0,0.0
pctSmoking,0.208,observed_Colorectal_Per100k,2.175,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.987,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.564
higherEd,0.208,observed_Colorectal_Per100k,-49.775,29,0.092
unemploy,0.208,observed_Colorectal_Per100k,-148.835,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.083,observed_Esophagus_Per100k,-9.748,3,0.012
ethylbenzeneTotal,0.083,observed_Esophagus_Per100k,0.001,0,0.0
pctSmoking,0.083,observed_Esophagus_Per100k,1.073,0,0.0
pctElderly,0.083,observed_Esophagus_Per100k,132.211,13,0.0
income,0.083,observed_Esophagus_Per100k,0.0,0,0.333
higherEd,0.083,observed_Esophagus_Per100k,-0.541,4,0.898
unemploy,0.083,observed_Esophagus_Per100k,-7.717,14,0.602
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.214,7,0.048
ethylbenzeneTotal,0.102,observed_Kidney_Per100k,0.0,0,0.111
pctSmoking,0.102,observed_Kidney_Per100k,1.392,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323.921,31,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.102,observed_Kidney_Per100k,-5.182,10,0.633
unemploy,0.102,observed_Kidney_Per100k,-107.354,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.737,3,0.384
ethylbenzeneTotal,0.042,observed_Larynx_Per100k,0.0,0,0.501
pctSmoking,0.042,observed_Larynx_Per100k,0.816,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.445,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.177
higherEd,0.042,observed_Larynx_Per100k,-9.474,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.793,14,0.357
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.811,5,0.008
ethylbenzeneTotal,0.176,observed_Leukemia_Per100k,0.001,0,0.0
pctSmoking,0.176,observed_Leukemia_Per100k,1.657,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.623,19,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.176,observed_Leukemia_Per100k,4.663,8,0.564
unemploy,0.176,observed_Leukemia_Per100k,-85.012,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.163,5,0.0
ethylbenzeneTotal,0.042,observed_Liver_Per100k,-0.001,0,0.0
pctSmoking,0.042,observed_Liver_Per100k,-1.331,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.767,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15.308,7,0.031
unemploy,0.042,observed_Liver_Per100k,21.545,25,0.393
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.229,observed_Lung_Per100k,-84.324,20,0.0
ethylbenzeneTotal,0.229,observed_Lung_Per100k,0.006,0,0.0
pctSmoking,0.229,observed_Lung_Per100k,13.797,1,0.0
pctElderly,0.229,observed_Lung_Per100k,1642.464,68,0.0
income,0.229,observed_Lung_Per100k,0.0,0,0.002
higherEd,0.229,observed_Lung_Per100k,-81.185,40,0.047
unemploy,0.229,observed_Lung_Per100k,-218.918,112,0.051
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.033,observed_Mesothelioma_Per100k,-8.508,2,0.001
ethylbenzeneTotal,0.033,observed_Mesothelioma_Per100k,0.0,0,0.0
pctSmoking,0.033,observed_Mesothelioma_Per100k,0.369,0,0.0
pctElderly,0.033,observed_Mesothelioma_Per100k,35.805,9,0.0
income,0.033,observed_Mesothelioma_Per100k,0.0,0,0.0
higherEd,0.033,observed_Mesothelioma_Per100k,-1.376,2,0.546
unemploy,0.033,observed_Mesothelioma_Per100k,0.833,10,0.938
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.216,observed_NHL_Per100k,-13.79,7,0.069
ethylbenzeneTotal,0.216,observed_NHL_Per100k,0.002,0,0.0
pctSmoking,0.216,observed_NHL_Per100k,1.481,0,0.0
pctElderly,0.216,observed_NHL_Per100k,497.308,25,0.0
income,0.216,observed_NHL_Per100k,0.0,0,0.0
higherEd,0.216,observed_NHL_Per100k,38.112,11,0.001
unemploy,0.216,observed_NHL_Per100k,-114.639,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.009,observed_Nasal_Per100k,0.146,1,0.906
ethylbenzeneTotal,0.009,observed_Nasal_Per100k,-0.0,0,0.0
pctSmoking,0.009,observed_Nasal_Per100k,0.188,0,0.012
pctElderly,0.009,observed_Nasal_Per100k,11.527,3,0.001
income,0.009,observed_Nasal_Per100k,0.0,0,0.765
higherEd,0.009,observed_Nasal_Per100k,-1.536,1,0.438
unemploy,0.009,observed_Nasal_Per100k,-10.141,5,0.057
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.067,observed_Oral_Per100k,1.767,5,0.739
ethylbenzeneTotal,0.067,observed_Oral_Per100k,0.002,0,0.0
pctSmoking,0.067,observed_Oral_Per100k,1.425,0,0.0
pctElderly,0.067,observed_Oral_Per100k,164.508,15,0.0
income,0.067,observed_Oral_Per100k,0.0,0,0.003
higherEd,0.067,observed_Oral_Per100k,-3.377,6,0.618
unemploy,0.067,observed_Oral_Per100k,-11.96,19,0.546
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.316,observed_Other_Per100k,-151.174,20,0.0
ethylbenzeneTotal,0.316,observed_Other_Per100k,-0.001,0,0.0
pctSmoking,0.316,observed_Other_Per100k,7.476,1,0.0
pctElderly,0.316,observed_Other_Per100k,1829.929,98,0.0
income,0.316,observed_Other_Per100k,0.001,0,0.0
higherEd,0.316,observed_Other_Per100k,138.804,32,0.0
unemploy,0.316,observed_Other_Per100k,-36.692,98,0.711
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.084,observed_Ovary_Per100k,5.01,4,0.243
ethylbenzeneTotal,0.084,observed_Ovary_Per100k,-0.0,0,0.0
pctSmoking,0.084,observed_Ovary_Per100k,0.25,0,0.149
pctElderly,0.084,observed_Ovary_Per100k,160.276,11,0.0
income,0.084,observed_Ovary_Per100k,0.0,0,0.105
higherEd,0.084,observed_Ovary_Per100k,11.71,5,0.041
unemploy,0.084,observed_Ovary_Per100k,-37.715,14,0.011
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.177,observed_Pancreas_Per100k,-20.634,7,0.009
ethylbenzeneTotal,0.177,observed_Pancreas_Per100k,-0.001,0,0.0
pctSmoking,0.177,observed_Pancreas_Per100k,0.794,0,0.027
pctElderly,0.177,observed_Pancreas_Per100k,485.746,42,0.0
income,0.177,observed_Pancreas_Per100k,0.0,0,0.0
higherEd,0.177,observed_Pancreas_Per100k,-0.04,9,0.997
unemploy,0.177,observed_Pancreas_Per100k,8.462,41,0.837
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.199,observed_Prostate_Per100k,-60.501,22,0.007
ethylbenzeneTotal,0.199,observed_Prostate_Per100k,-0.001,0,0.0
pctSmoking,0.199,observed_Prostate_Per100k,7.399,1,0.0
pctElderly,0.199,observed_Prostate_Per100k,1244.736,92,0.0
income,0.199,observed_Prostate_Per100k,0.001,0,0.0
higherEd,0.199,observed_Prostate_Per100k,115.56,35,0.001
unemploy,0.199,observed_Prostate_Per100k,20.689,98,0.833
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.024,observed_Soft_Tissue_Per100k,8.286,2,0.002
ethylbenzeneTotal,0.024,observed_Soft_Tissue_Per100k,0.0,0,0.0
pctSmoking,0.024,observed_Soft_Tissue_Per100k,-0.093,0,0.449
pctElderly,0.024,observed_Soft_Tissue_Per100k,59.22,8,0.0
income,0.024,observed_Soft_Tissue_Per100k,0.0,0,0.258
higherEd,0.024,observed_Soft_Tissue_Per100k,2.409,4,0.582
unemploy,0.024,observed_Soft_Tissue_Per100k,-12.493,10,0.255
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.081,observed_Stomach_Per100k,67.356,7,0.0
ethylbenzeneTotal,0.081,observed_Stomach_Per100k,-0.001,0,0.0
pctSmoking,0.081,observed_Stomach_Per100k,-1.654,0,0.0
pctElderly,0.081,observed_Stomach_Per100k,188.235,20,0.0
income,0.081,observed_Stomach_Per100k,-0.0,0,0.0
higherEd,0.081,observed_Stomach_Per100k,-17.428,6,0.012
unemploy,0.081,observed_Stomach_Per100k,31.104,35,0.375
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.036,observed_Testis_Per100k,-4.23,2,0.108
ethylbenzeneTotal,0.036,observed_Testis_Per100k,0.0,0,0.0
pctSmoking,0.036,observed_Testis_Per100k,0.353,0,0.0
pctElderly,0.036,observed_Testis_Per100k,25.183,10,0.012
income,0.036,observed_Testis_Per100k,0.0,0,0.001
higherEd,0.036,observed_Testis_Per100k,10.154,2,0.001
unemploy,0.036,observed_Testis_Per100k,-17.57,10,0.11
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.118,observed_Thyroid_Per100k,36.011,7,0.0
ethylbenzeneTotal,0.118,observed_Thyroid_Per100k,-0.001,0,0.0
pctSmoking,0.118,observed_Thyroid_Per100k,-0.169,0,0.526
pctElderly,0.118,observed_Thyroid_Per100k,166.71,21,0.0
income,0.118,observed_Thyroid_Per100k,0.0,0,0.0
higherEd,0.118,observed_Thyroid_Per100k,19.764,9,0.04
unemploy,0.118,observed_Thyroid_Per100k,-162.286,32,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.108,observed_Uterus_Per100k,25.25,7,0.001
ethylbenzeneTotal,0.108,observed_Uterus_Per100k,0.0,0,0.0
pctSmoking,0.108,observed_Uterus_Per100k,0.194,0,0.511
pctElderly,0.108,observed_Uterus_Per100k,348.81,36,0.0
income,0.108,observed_Uterus_Per100k,0.0,0,0.123
higherEd,0.108,observed_Uterus_Per100k,15.39,9,0.089
unemploy,0.108,observed_Uterus_Per100k,-33.804,26,0.195
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.336,observed_Total_Per100k,-175.281,94,0.062
ethylbenzeneTotal,0.336,observed_Total_Per100k,0.01,0,0.0
pctSmoking,0.336,observed_Total_Per100k,48.196,8,0.0
pctElderly,0.336,observed_Total_Per100k,11315.464,392,0.0
income,0.336,observed_Total_Per100k,0.006,0,0.0
higherEd,0.336,observed_Total_Per100k,337.135,220,0.127
unemploy,0.336,observed_Total_Per100k,-1466.022,524,0.005
