,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.12,10,0.0
formaldehydeTotal,0.255,observed_Bladder_Per100k,0.0,0,0.874
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.3,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.03,17,0.815
unemploy,0.255,observed_Bladder_Per100k,-266.38,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.67,1,0.162
formaldehydeTotal,0.004,observed_Bone_Per100k,0.0,0,0.214
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.807
pctElderly,0.004,observed_Bone_Per100k,15.37,8,0.073
income,0.004,observed_Bone_Per100k,0.0,0,0.345
higherEd,0.004,observed_Bone_Per100k,-1.08,1,0.57
unemploy,0.004,observed_Bone_Per100k,5.19,8,0.564
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.87,3,0.19
formaldehydeTotal,0.06,observed_Brain_Per100k,0.0,0,0.441
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.84,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.025
higherEd,0.06,observed_Brain_Per100k,10.51,7,0.135
unemploy,0.06,observed_Brain_Per100k,-57.92,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.86,18,0.071
formaldehydeTotal,0.279,observed_Breast_Per100k,0.0,0,0.624
pctSmoking,0.279,observed_Breast_Per100k,4.46,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.16,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.33,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.39,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.74,17,0.0
formaldehydeTotal,0.208,observed_Colorectal_Per100k,0.0,0,0.544
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.59,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.557
higherEd,0.208,observed_Colorectal_Per100k,-49.92,29,0.091
unemploy,0.208,observed_Colorectal_Per100k,-148.27,93,0.114
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.084,observed_Esophagus_Per100k,-9.75,3,0.012
formaldehydeTotal,0.084,observed_Esophagus_Per100k,0.0,0,0.082
pctSmoking,0.084,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.084,observed_Esophagus_Per100k,132.42,13,0.0
income,0.084,observed_Esophagus_Per100k,0.0,0,0.325
higherEd,0.084,observed_Esophagus_Per100k,-0.64,4,0.88
unemploy,0.084,observed_Esophagus_Per100k,-7.38,14,0.618
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.22,7,0.048
formaldehydeTotal,0.102,observed_Kidney_Per100k,-0.0,0,0.843
pctSmoking,0.102,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323.98,31,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.102,observed_Kidney_Per100k,-5.17,10,0.634
unemploy,0.102,observed_Kidney_Per100k,-107.4,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.75,3,0.382
formaldehydeTotal,0.042,observed_Larynx_Per100k,-0.0,0,0.074
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.46,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.173
higherEd,0.042,observed_Larynx_Per100k,-9.44,5,0.063
unemploy,0.042,observed_Larynx_Per100k,13.65,14,0.363
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.81,5,0.008
formaldehydeTotal,0.176,observed_Leukemia_Per100k,0.0,0,0.001
pctSmoking,0.176,observed_Leukemia_Per100k,1.65,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.82,19,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.176,observed_Leukemia_Per100k,4.58,8,0.571
unemploy,0.176,observed_Leukemia_Per100k,-84.72,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.16,5,0.0
formaldehydeTotal,0.042,observed_Liver_Per100k,-0.0,0,0.0
pctSmoking,0.042,observed_Liver_Per100k,-1.33,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.55,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15.23,7,0.032
unemploy,0.042,observed_Liver_Per100k,21.27,25,0.399
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.231,observed_Lung_Per100k,-84.41,20,0.0
formaldehydeTotal,0.231,observed_Lung_Per100k,0.02,0,0.057
pctSmoking,0.231,observed_Lung_Per100k,13.77,1,0.0
pctElderly,0.231,observed_Lung_Per100k,1644.12,68,0.0
income,0.231,observed_Lung_Per100k,0.0,0,0.002
higherEd,0.231,observed_Lung_Per100k,-82.27,40,0.044
unemploy,0.231,observed_Lung_Per100k,-215.16,112,0.056
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.032,observed_Mesothelioma_Per100k,-8.5,2,0.001
formaldehydeTotal,0.032,observed_Mesothelioma_Per100k,0.0,0,0.127
pctSmoking,0.032,observed_Mesothelioma_Per100k,0.37,0,0.0
pctElderly,0.032,observed_Mesothelioma_Per100k,35.9,9,0.0
income,0.032,observed_Mesothelioma_Per100k,0.0,0,0.0
higherEd,0.032,observed_Mesothelioma_Per100k,-1.39,2,0.541
unemploy,0.032,observed_Mesothelioma_Per100k,0.88,10,0.934
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.215,observed_NHL_Per100k,-13.75,7,0.07
formaldehydeTotal,0.215,observed_NHL_Per100k,0.0,0,0.184
pctSmoking,0.215,observed_NHL_Per100k,1.47,0,0.0
pctElderly,0.215,observed_NHL_Per100k,498.07,25,0.0
income,0.215,observed_NHL_Per100k,0.0,0,0.0
higherEd,0.215,observed_NHL_Per100k,38.04,11,0.001
unemploy,0.215,observed_NHL_Per100k,-114.46,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.009,observed_Nasal_Per100k,0.15,1,0.905
formaldehydeTotal,0.009,observed_Nasal_Per100k,-0.0,0,0.0
pctSmoking,0.009,observed_Nasal_Per100k,0.19,0,0.012
pctElderly,0.009,observed_Nasal_Per100k,11.51,3,0.001
income,0.009,observed_Nasal_Per100k,0.0,0,0.771
higherEd,0.009,observed_Nasal_Per100k,-1.52,1,0.442
unemploy,0.009,observed_Nasal_Per100k,-10.19,5,0.056
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.069,observed_Oral_Per100k,1.76,5,0.74
formaldehydeTotal,0.069,observed_Oral_Per100k,0.0,0,0.013
pctSmoking,0.069,observed_Oral_Per100k,1.42,0,0.0
pctElderly,0.069,observed_Oral_Per100k,164.96,15,0.0
income,0.069,observed_Oral_Per100k,0.0,0,0.002
higherEd,0.069,observed_Oral_Per100k,-3.59,6,0.596
unemploy,0.069,observed_Oral_Per100k,-11.25,19,0.571
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.316,observed_Other_Per100k,-151.25,20,0.0
formaldehydeTotal,0.316,observed_Other_Per100k,0.0,0,0.653
pctSmoking,0.316,observed_Other_Per100k,7.48,1,0.0
pctElderly,0.316,observed_Other_Per100k,1829.41,98,0.0
income,0.316,observed_Other_Per100k,0.0,0,0.0
higherEd,0.316,observed_Other_Per100k,138.6,32,0.0
unemploy,0.316,observed_Other_Per100k,-35.9,98,0.717
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.084,observed_Ovary_Per100k,5.0,4,0.244
formaldehydeTotal,0.084,observed_Ovary_Per100k,0.0,0,0.582
pctSmoking,0.084,observed_Ovary_Per100k,0.25,0,0.149
pctElderly,0.084,observed_Ovary_Per100k,160.18,11,0.0
income,0.084,observed_Ovary_Per100k,0.0,0,0.103
higherEd,0.084,observed_Ovary_Per100k,11.67,5,0.041
unemploy,0.084,observed_Ovary_Per100k,-37.57,14,0.012
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.177,observed_Pancreas_Per100k,-20.64,7,0.009
formaldehydeTotal,0.177,observed_Pancreas_Per100k,-0.0,0,0.2
pctSmoking,0.177,observed_Pancreas_Per100k,0.8,0,0.027
pctElderly,0.177,observed_Pancreas_Per100k,485.53,42,0.0
income,0.177,observed_Pancreas_Per100k,0.0,0,0.0
higherEd,0.177,observed_Pancreas_Per100k,-0.0,9,1.0
unemploy,0.177,observed_Pancreas_Per100k,8.35,41,0.839
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.199,observed_Prostate_Per100k,-60.51,22,0.007
formaldehydeTotal,0.199,observed_Prostate_Per100k,-0.0,0,0.154
pctSmoking,0.199,observed_Prostate_Per100k,7.4,1,0.0
pctElderly,0.199,observed_Prostate_Per100k,1244.45,92,0.0
income,0.199,observed_Prostate_Per100k,0.0,0,0.0
higherEd,0.199,observed_Prostate_Per100k,115.64,35,0.001
unemploy,0.199,observed_Prostate_Per100k,20.43,98,0.835
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.024,observed_Soft_Tissue_Per100k,8.29,2,0.002
formaldehydeTotal,0.024,observed_Soft_Tissue_Per100k,-0.0,0,0.646
pctSmoking,0.024,observed_Soft_Tissue_Per100k,-0.09,0,0.448
pctElderly,0.024,observed_Soft_Tissue_Per100k,59.26,8,0.0
income,0.024,observed_Soft_Tissue_Per100k,0.0,0,0.261
higherEd,0.024,observed_Soft_Tissue_Per100k,2.42,4,0.579
unemploy,0.024,observed_Soft_Tissue_Per100k,-12.55,10,0.253
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.081,observed_Stomach_Per100k,67.33,7,0.0
formaldehydeTotal,0.081,observed_Stomach_Per100k,-0.0,0,1.0
pctSmoking,0.081,observed_Stomach_Per100k,-1.65,0,0.0
pctElderly,0.081,observed_Stomach_Per100k,187.96,20,0.0
income,0.081,observed_Stomach_Per100k,-0.0,0,0.0
higherEd,0.081,observed_Stomach_Per100k,-17.46,6,0.012
unemploy,0.081,observed_Stomach_Per100k,31.27,35,0.373
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.036,observed_Testis_Per100k,-4.22,2,0.109
formaldehydeTotal,0.036,observed_Testis_Per100k,-0.0,0,0.258
pctSmoking,0.036,observed_Testis_Per100k,0.35,0,0.0
pctElderly,0.036,observed_Testis_Per100k,25.24,10,0.012
income,0.036,observed_Testis_Per100k,0.0,0,0.002
higherEd,0.036,observed_Testis_Per100k,10.18,2,0.001
unemploy,0.036,observed_Testis_Per100k,-17.68,11,0.108
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.117,observed_Thyroid_Per100k,35.98,7,0.0
formaldehydeTotal,0.117,observed_Thyroid_Per100k,0.0,0,0.822
pctSmoking,0.117,observed_Thyroid_Per100k,-0.17,0,0.529
pctElderly,0.117,observed_Thyroid_Per100k,166.4,21,0.0
income,0.117,observed_Thyroid_Per100k,0.0,0,0.0
higherEd,0.117,observed_Thyroid_Per100k,19.7,9,0.041
unemploy,0.117,observed_Thyroid_Per100k,-162.03,32,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.108,observed_Uterus_Per100k,25.26,7,0.001
formaldehydeTotal,0.108,observed_Uterus_Per100k,0.0,0,0.908
pctSmoking,0.108,observed_Uterus_Per100k,0.19,0,0.513
pctElderly,0.108,observed_Uterus_Per100k,348.93,36,0.0
income,0.108,observed_Uterus_Per100k,0.0,0,0.124
higherEd,0.108,observed_Uterus_Per100k,15.4,9,0.089
unemploy,0.108,observed_Uterus_Per100k,-33.86,26,0.195
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.336,observed_Total_Per100k,-175.39,94,0.062
formaldehydeTotal,0.336,observed_Total_Per100k,0.03,0,0.129
pctSmoking,0.336,observed_Total_Per100k,48.15,8,0.0
pctElderly,0.336,observed_Total_Per100k,11318.41,392,0.0
income,0.336,observed_Total_Per100k,0.01,0,0.0
higherEd,0.336,observed_Total_Per100k,335.41,220,0.128
unemploy,0.336,observed_Total_Per100k,-1460.06,524,0.005
