,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-76.956,10,0.0
n_5_1_fugitive_air_dioxin,0.255,observed_Bladder_Per100k,-216.512,14,0.0
pctSmoking,0.255,observed_Bladder_Per100k,5.179,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.937,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.029,17,0.815
unemploy,0.255,observed_Bladder_Per100k,-266.855,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.003,observed_Bone_Per100k,2.69,1,0.16
n_5_1_fugitive_air_dioxin,0.003,observed_Bone_Per100k,-11.93,2,0.0
pctSmoking,0.003,observed_Bone_Per100k,-0.011,0,0.816
pctElderly,0.003,observed_Bone_Per100k,15.356,8,0.073
income,0.003,observed_Bone_Per100k,0.0,0,0.358
higherEd,0.003,observed_Bone_Per100k,-1.039,1,0.585
unemploy,0.003,observed_Bone_Per100k,5.014,8,0.577
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.798,3,0.196
n_5_1_fugitive_air_dioxin,0.06,observed_Brain_Per100k,-75.877,6,0.0
pctSmoking,0.06,observed_Brain_Per100k,0.962,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.721,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.027
higherEd,0.06,observed_Brain_Per100k,10.571,7,0.133
unemploy,0.06,observed_Brain_Per100k,-58.303,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.53,18,0.073
n_5_1_fugitive_air_dioxin,0.279,observed_Breast_Per100k,-410.016,24,0.0
pctSmoking,0.279,observed_Breast_Per100k,4.465,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1308.495,55,0.0
income,0.279,observed_Breast_Per100k,0.001,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.384,32,0.0
