,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77,11,0.0
n_5_1_fugitive_air_formaldehyde,0.255,observed_Bladder_Per100k,0,0,0.919
pctSmoking,0.255,observed_Bladder_Per100k,5,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752,26,0.0
income,0.255,observed_Bladder_Per100k,0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4,13,0.77
unemploy,0.255,observed_Bladder_Per100k,-266,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.006,observed_Bone_Per100k,2,1,0.082
n_5_1_fugitive_air_formaldehyde,0.006,observed_Bone_Per100k,0,0,0.001
pctSmoking,0.006,observed_Bone_Per100k,0,0,0.816
pctElderly,0.006,observed_Bone_Per100k,15,3,0.0
income,0.006,observed_Bone_Per100k,0,0,0.27
higherEd,0.006,observed_Bone_Per100k,-1,1,0.579
unemploy,0.006,observed_Bone_Per100k,5,5,0.34
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.061,observed_Brain_Per100k,-4,4,0.313
n_5_1_fugitive_air_formaldehyde,0.061,observed_Brain_Per100k,0,0,0.046
pctSmoking,0.061,observed_Brain_Per100k,0,0,0.0
pctElderly,0.061,observed_Brain_Per100k,123,11,0.0
income,0.061,observed_Brain_Per100k,0,0,0.051
higherEd,0.061,observed_Brain_Per100k,10,5,0.066
unemploy,0.061,observed_Brain_Per100k,-58,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33,20,0.096
n_5_1_fugitive_air_formaldehyde,0.279,observed_Breast_Per100k,0,0,0.801
pctSmoking,0.279,observed_Breast_Per100k,4,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1309,47,0.0
income,0.279,observed_Breast_Per100k,0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75,17,0.0
n_5_1_fugitive_air_formaldehyde,0.208,observed_Colorectal_Per100k,0,0,0.521
pctSmoking,0.208,observed_Colorectal_Per100k,2,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1274,42,0.0
income,0.208,observed_Colorectal_Per100k,0,0,0.584
higherEd,0.208,observed_Colorectal_Per100k,-49,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.085,observed_Esophagus_Per100k,-9,3,0.009
n_5_1_fugitive_air_formaldehyde,0.085,observed_Esophagus_Per100k,0,0,0.0
pctSmoking,0.085,observed_Esophagus_Per100k,1,0,0.0
pctElderly,0.085,observed_Esophagus_Per100k,132,8,0.0
income,0.085,observed_Esophagus_Per100k,0,0,0.373
higherEd,0.085,observed_Esophagus_Per100k,0,4,0.915
unemploy,0.085,observed_Esophagus_Per100k,-7,12,0.534
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14,7,0.072
n_5_1_fugitive_air_formaldehyde,0.102,observed_Kidney_Per100k,0,0,0.94
pctSmoking,0.102,observed_Kidney_Per100k,1,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323,18,0.0
income,0.102,observed_Kidney_Per100k,0,0,0.002
higherEd,0.102,observed_Kidney_Per100k,-5,9,0.585
unemploy,0.102,observed_Kidney_Per100k,-107,26,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
