,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-76.94,10,0.0
n_5_1_fugitive_air_toluene,0.255,observed_Bladder_Per100k,0.0,0,0.129
pctSmoking,0.255,observed_Bladder_Per100k,5.16,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.87,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.35,17,0.8
unemploy,0.255,observed_Bladder_Per100k,-265.83,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.69,1,0.159
n_5_1_fugitive_air_toluene,0.004,observed_Bone_Per100k,0.0,0,0.533
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.802
pctElderly,0.004,observed_Bone_Per100k,15.35,8,0.073
income,0.004,observed_Bone_Per100k,0.0,0,0.36
higherEd,0.004,observed_Bone_Per100k,-1.02,1,0.591
unemploy,0.004,observed_Bone_Per100k,5.07,8,0.573
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.061,observed_Brain_Per100k,-4.93,3,0.184
n_5_1_fugitive_air_toluene,0.061,observed_Brain_Per100k,-0.0,0,0.0
pctSmoking,0.061,observed_Brain_Per100k,0.97,0,0.0
pctElderly,0.061,observed_Brain_Per100k,124.03,15,0.0
income,0.061,observed_Brain_Per100k,0.0,0,0.024
higherEd,0.061,observed_Brain_Per100k,10.44,7,0.137
unemploy,0.061,observed_Brain_Per100k,-58.43,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.87,18,0.071
n_5_1_fugitive_air_toluene,0.279,observed_Breast_Per100k,-0.0,0,0.43
pctSmoking,0.279,observed_Breast_Per100k,4.47,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.26,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.36,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.82,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.68,17,0.0
n_5_1_fugitive_air_toluene,0.208,observed_Colorectal_Per100k,-0.0,0,0.061
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,1,0.044
pctElderly,0.208,observed_Colorectal_Per100k,1274.81,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.556
higherEd,0.208,observed_Colorectal_Per100k,-49.97,29,0.091
unemploy,0.208,observed_Colorectal_Per100k,-148.91,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.74,3,0.012
n_5_1_fugitive_air_toluene,0.082,observed_Esophagus_Per100k,-0.0,0,0.225
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.49,13,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.339
higherEd,0.082,observed_Esophagus_Per100k,-0.54,4,0.899
unemploy,0.082,observed_Esophagus_Per100k,-7.91,14,0.593
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.25,7,0.048
n_5_1_fugitive_air_toluene,0.102,observed_Kidney_Per100k,0.0,0,0.714
pctSmoking,0.102,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323.9,31,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.102,observed_Kidney_Per100k,-5.12,10,0.638
unemploy,0.102,observed_Kidney_Per100k,-107.27,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.72,3,0.387
n_5_1_fugitive_air_toluene,0.042,observed_Larynx_Per100k,-0.0,0,0.031
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.5,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.18
higherEd,0.042,observed_Larynx_Per100k,-9.51,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.72,14,0.36
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.85,5,0.008
n_5_1_fugitive_air_toluene,0.176,observed_Leukemia_Per100k,-0.0,0,0.0
pctSmoking,0.176,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.99,19,0.0
