,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.256,observed_Bladder_Per100k,-77.1,11,0.0
n_5_1_fugitive_air_xylene,0.256,observed_Bladder_Per100k,0.0,0,0.053
pctSmoking,0.256,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.256,observed_Bladder_Per100k,750.75,26,0.0
income,0.256,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.256,observed_Bladder_Per100k,4.24,13,0.759
unemploy,0.256,observed_Bladder_Per100k,-265.88,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.68,1,0.083
n_5_1_fugitive_air_xylene,0.004,observed_Bone_Per100k,0.0,0,0.229
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.828
pctElderly,0.004,observed_Bone_Per100k,15.25,3,0.0
income,0.004,observed_Bone_Per100k,0.0,0,0.278
higherEd,0.004,observed_Bone_Per100k,-1.02,1,0.581
unemploy,0.004,observed_Bone_Per100k,5.08,5,0.334
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.86,4,0.313
n_5_1_fugitive_air_xylene,0.06,observed_Brain_Per100k,-0.0,0,0.507
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,124.07,11,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.053
higherEd,0.06,observed_Brain_Per100k,10.55,5,0.068
unemploy,0.06,observed_Brain_Per100k,-58.24,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.82,20,0.096
n_5_1_fugitive_air_xylene,0.279,observed_Breast_Per100k,0.0,0,0.222
pctSmoking,0.279,observed_Breast_Per100k,4.46,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1307.46,47,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.63,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238.08,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.75,17,0.0
n_5_1_fugitive_air_xylene,0.208,observed_Colorectal_Per100k,-0.0,0,0.549
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1275.36,42,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.588
higherEd,0.208,observed_Colorectal_Per100k,-49.92,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148.89,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.72,3,0.009
n_5_1_fugitive_air_xylene,0.082,observed_Esophagus_Per100k,0.0,0,0.249
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.15,8,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.384
higherEd,0.082,observed_Esophagus_Per100k,-0.47,4,0.916
unemploy,0.082,observed_Esophagus_Per100k,-7.75,12,0.542
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14.22,7,0.072
n_5_1_fugitive_air_xylene,0.103,observed_Kidney_Per100k,0.0,0,0.38
pctSmoking,0.103,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.103,observed_Kidney_Per100k,323.49,18,0.0
income,0.103,observed_Kidney_Per100k,0.0,0,0.002
higherEd,0.103,observed_Kidney_Per100k,-5.12,9,0.589
unemploy,0.103,observed_Kidney_Per100k,-107.21,26,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.74,3,0.456
n_5_1_fugitive_air_xylene,0.042,observed_Larynx_Per100k,0.0,0,0.997
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.45,8,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.292
higherEd,0.042,observed_Larynx_Per100k,-9.47,4,0.031
unemploy,0.042,observed_Larynx_Per100k,13.79,12,0.27
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.79,6,0.013
n_5_1_fugitive_air_xylene,0.176,observed_Leukemia_Per100k,0.0,0,0.513
pctSmoking,0.176,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.55,14,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
