,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.09,11,0.0
n_5_2_stack_air,0.255,observed_Bladder_Per100k,0.0,0,0.728
pctSmoking,0.255,observed_Bladder_Per100k,5.17,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.38,26,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.06,13,0.769
unemploy,0.255,observed_Bladder_Per100k,-266.37,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.68,1,0.083
n_5_2_stack_air,0.004,observed_Bone_Per100k,-0.0,0,0.562
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.847
pctElderly,0.004,observed_Bone_Per100k,15.36,3,0.0
income,0.004,observed_Bone_Per100k,0.0,0,0.28
higherEd,0.004,observed_Bone_Per100k,-1.04,1,0.575
unemploy,0.004,observed_Bone_Per100k,5.02,5,0.34
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.84,4,0.315
n_5_2_stack_air,0.06,observed_Brain_Per100k,0.0,0,0.507
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.91,11,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.052
higherEd,0.06,observed_Brain_Per100k,10.59,5,0.067
unemploy,0.06,observed_Brain_Per100k,-58.1,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.82,20,0.096
n_5_2_stack_air,0.279,observed_Breast_Per100k,0.0,0,0.851
pctSmoking,0.279,observed_Breast_Per100k,4.46,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.25,47,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.43,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238.64,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.72,17,0.0
n_5_2_stack_air,0.208,observed_Colorectal_Per100k,-0.0,0,0.722
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1274.49,42,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.587
higherEd,0.208,observed_Colorectal_Per100k,-49.84,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148.74,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.71,3,0.009
n_5_2_stack_air,0.082,observed_Esophagus_Per100k,0.0,0,0.433
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.51,8,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.384
higherEd,0.082,observed_Esophagus_Per100k,-0.5,4,0.911
unemploy,0.082,observed_Esophagus_Per100k,-7.8,12,0.539
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.24,7,0.071
n_5_2_stack_air,0.102,observed_Kidney_Per100k,0.0,0,0.645
pctSmoking,0.102,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,324.05,18,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.002
higherEd,0.102,observed_Kidney_Per100k,-5.16,9,0.585
unemploy,0.102,observed_Kidney_Per100k,-107.32,26,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.71,3,0.46
n_5_2_stack_air,0.042,observed_Larynx_Per100k,-0.0,0,0.261
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.37,8,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.291
higherEd,0.042,observed_Larynx_Per100k,-9.48,4,0.031
unemploy,0.042,observed_Larynx_Per100k,13.71,12,0.273
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.82,6,0.013
n_5_2_stack_air,0.176,observed_Leukemia_Per100k,-0.0,0,0.47
pctSmoking,0.176,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.76,14,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.176,observed_Leukemia_Per100k,4.68,7,0.541
unemploy,0.176,observed_Leukemia_Per100k,-85.23,21,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.13,5,0.0
n_5_2_stack_air,0.042,observed_Liver_Per100k,-0.0,0,0.716
pctSmoking,0.042,observed_Liver_Per100k,-1.33,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.49,12,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
higherEd,0.042,observed_Liver_Per100k,-15.35,6,0.016
unemploy,0.042,observed_Liver_Per100k,21.65,18,0.229
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.229,observed_Lung_Per100k,-84.08,25,0.001
