,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.17,11,0.0
n_5_2_stack_air_ethylbenzene,0.255,observed_Bladder_Per100k,0.0,0,0.28
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.8,26,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,3.98,13,0.773
unemploy,0.255,observed_Bladder_Per100k,-266.13,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.67,1,0.084
n_5_2_stack_air_ethylbenzene,0.004,observed_Bone_Per100k,0.0,0,0.116
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.838
pctElderly,0.004,observed_Bone_Per100k,15.28,3,0.0
income,0.004,observed_Bone_Per100k,0.0,0,0.272
higherEd,0.004,observed_Bone_Per100k,-1.05,1,0.571
unemploy,0.004,observed_Bone_Per100k,5.1,5,0.333
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.85,4,0.314
n_5_2_stack_air_ethylbenzene,0.06,observed_Brain_Per100k,-0.0,0,0.756
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.91,11,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.053
higherEd,0.06,observed_Brain_Per100k,10.59,5,0.067
unemploy,0.06,observed_Brain_Per100k,-58.2,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.94,20,0.095
n_5_2_stack_air_ethylbenzene,0.279,observed_Breast_Per100k,0.01,0,0.178
pctSmoking,0.279,observed_Breast_Per100k,4.47,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1308.09,47,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.27,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238.03,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.79,17,0.0
n_5_2_stack_air_ethylbenzene,0.208,observed_Colorectal_Per100k,-0.0,0,0.614
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1274.97,42,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.59
