,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.131,10,0.0
n_5_2_stack_air_formaldehyde,0.255,observed_Bladder_Per100k,0.001,0,0.614
pctSmoking,0.255,observed_Bladder_Per100k,5.179,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.35,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,3.984,17,0.817
unemploy,0.255,observed_Bladder_Per100k,-266.224,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.003,observed_Bone_Per100k,2.682,1,0.16
n_5_2_stack_air_formaldehyde,0.003,observed_Bone_Per100k,-0.0,0,0.698
pctSmoking,0.003,observed_Bone_Per100k,-0.011,0,0.817
pctElderly,0.003,observed_Bone_Per100k,15.37,8,0.073
income,0.003,observed_Bone_Per100k,0.0,0,0.357
higherEd,0.003,observed_Bone_Per100k,-1.031,1,0.588
unemploy,0.003,observed_Bone_Per100k,5.012,9,0.578
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.846,3,0.192
n_5_2_stack_air_formaldehyde,0.06,observed_Brain_Per100k,-0.001,0,0.332
pctSmoking,0.06,observed_Brain_Per100k,0.963,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.81,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.026
higherEd,0.06,observed_Brain_Per100k,10.624,7,0.131
unemploy,0.06,observed_Brain_Per100k,-58.321,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.858,18,0.071
n_5_2_stack_air_formaldehyde,0.279,observed_Breast_Per100k,0.001,0,0.668
pctSmoking,0.279,observed_Breast_Per100k,4.464,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.262,55,0.0
income,0.279,observed_Breast_Per100k,0.001,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.318,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.365,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.763,17,0.0
n_5_2_stack_air_formaldehyde,0.208,observed_Colorectal_Per100k,-0.0,0,0.886
pctSmoking,0.208,observed_Colorectal_Per100k,2.177,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.597,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.561
higherEd,0.208,observed_Colorectal_Per100k,-49.806,29,0.092
unemploy,0.208,observed_Colorectal_Per100k,-148.679,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.731,3,0.012
n_5_2_stack_air_formaldehyde,0.082,observed_Esophagus_Per100k,0.0,0,0.515
pctSmoking,0.082,observed_Esophagus_Per100k,1.072,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.473,13,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.34
higherEd,0.082,observed_Esophagus_Per100k,-0.539,4,0.898
unemploy,0.082,observed_Esophagus_Per100k,-7.754,14,0.601
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.223,7,0.048
n_5_2_stack_air_formaldehyde,0.102,observed_Kidney_Per100k,-0.0,0,0.583
pctSmoking,0.102,observed_Kidney_Per100k,1.392,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323.956,31,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.102,observed_Kidney_Per100k,-5.151,10,0.636
unemploy,0.102,observed_Kidney_Per100k,-107.467,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.742,3,0.383
n_5_2_stack_air_formaldehyde,0.042,observed_Larynx_Per100k,-0.0,0,0.062
pctSmoking,0.042,observed_Larynx_Per100k,0.816,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.434,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.175
higherEd,0.042,observed_Larynx_Per100k,-9.451,5,0.063
unemploy,0.042,observed_Larynx_Per100k,13.712,14,0.36
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.808,5,0.008
n_5_2_stack_air_formaldehyde,0.176,observed_Leukemia_Per100k,0.001,0,0.096
pctSmoking,0.176,observed_Leukemia_Per100k,1.655,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.924,19,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.176,observed_Leukemia_Per100k,4.594,8,0.57
unemploy,0.176,observed_Leukemia_Per100k,-84.801,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.16,5,0.0
n_5_2_stack_air_formaldehyde,0.042,observed_Liver_Per100k,-0.001,0,0.016
pctSmoking,0.042,observed_Liver_Per100k,-1.329,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.435,19,0.0
