,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.16,10,0.0
n_5_2_stack_air_toluene,0.255,observed_Bladder_Per100k,0.0,0,0.262
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,752.19,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.1,17,0.812
unemploy,0.255,observed_Bladder_Per100k,-266.23,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.69,1,0.16
n_5_2_stack_air_toluene,0.004,observed_Bone_Per100k,-0.0,0,0.157
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.818
pctElderly,0.004,observed_Bone_Per100k,15.39,8,0.072
income,0.004,observed_Bone_Per100k,0.0,0,0.355
higherEd,0.004,observed_Bone_Per100k,-1.04,1,0.583
unemploy,0.004,observed_Bone_Per100k,5.01,8,0.578
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.82,3,0.194
n_5_2_stack_air_toluene,0.06,observed_Brain_Per100k,-0.0,0,0.004
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.95,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.025
higherEd,0.06,observed_Brain_Per100k,10.54,7,0.134
unemploy,0.06,observed_Brain_Per100k,-58.35,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.73,18,0.072
n_5_2_stack_air_toluene,0.279,observed_Breast_Per100k,-0.0,0,0.198
pctSmoking,0.279,observed_Breast_Per100k,4.47,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.49,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.28,32,0.0
unemploy,0.279,observed_Breast_Per100k,-239.3,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.74,17,0.0
n_5_2_stack_air_toluene,0.208,observed_Colorectal_Per100k,0.0,0,0.844
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.54,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.561
higherEd,0.208,observed_Colorectal_Per100k,-49.79,29,0.092
unemploy,0.208,observed_Colorectal_Per100k,-148.48,93,0.114
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.74,3,0.012
n_5_2_stack_air_toluene,0.082,observed_Esophagus_Per100k,0.0,0,0.021
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.39,13,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.344
higherEd,0.082,observed_Esophagus_Per100k,-0.48,4,0.909
unemploy,0.082,observed_Esophagus_Per100k,-7.74,14,0.601
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14.16,7,0.049
n_5_2_stack_air_toluene,0.103,observed_Kidney_Per100k,0.0,0,0.017
pctSmoking,0.103,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.103,observed_Kidney_Per100k,323.81,31,0.0
income,0.103,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.103,observed_Kidney_Per100k,-5.1,10,0.639
unemploy,0.103,observed_Kidney_Per100k,-107.07,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.74,3,0.383
n_5_2_stack_air_toluene,0.042,observed_Larynx_Per100k,-0.0,0,0.908
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.46,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.177
higherEd,0.042,observed_Larynx_Per100k,-9.48,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.78,14,0.358
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.175,observed_Leukemia_Per100k,-15.81,5,0.008
n_5_2_stack_air_toluene,0.175,observed_Leukemia_Per100k,0.0,0,0.508
pctSmoking,0.175,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.175,observed_Leukemia_Per100k,352.79,19,0.0
income,0.175,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.175,observed_Leukemia_Per100k,4.72,8,0.56
unemploy,0.175,observed_Leukemia_Per100k,-85.03,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.18,5,0.0
n_5_2_stack_air_toluene,0.042,observed_Liver_Per100k,-0.0,0,0.03
pctSmoking,0.042,observed_Liver_Per100k,-1.33,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.65,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
