,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.16,10,0.0
n_5_2_stack_air_xylene,0.255,observed_Bladder_Per100k,0.0,0,0.058
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.96,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.04,17,0.814
unemploy,0.255,observed_Bladder_Per100k,-266.12,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.67,1,0.162
n_5_2_stack_air_xylene,0.004,observed_Bone_Per100k,0.0,0,0.005
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.814
pctElderly,0.004,observed_Bone_Per100k,15.3,8,0.074
income,0.004,observed_Bone_Per100k,0.0,0,0.349
higherEd,0.004,observed_Bone_Per100k,-1.04,1,0.585
unemploy,0.004,observed_Bone_Per100k,5.11,8,0.57
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.84,3,0.192
n_5_2_stack_air_xylene,0.06,observed_Brain_Per100k,-0.0,0,0.056
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.99,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.026
higherEd,0.06,observed_Brain_Per100k,10.58,7,0.132
unemploy,0.06,observed_Brain_Per100k,-58.29,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.95,18,0.07
n_5_2_stack_air_xylene,0.279,observed_Breast_Per100k,0.0,0,0.003
pctSmoking,0.279,observed_Breast_Per100k,4.46,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1308.31,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.4,32,0.0
unemploy,0.279,observed_Breast_Per100k,-237.89,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.209,observed_Colorectal_Per100k,75.84,17,0.0
n_5_2_stack_air_xylene,0.209,observed_Colorectal_Per100k,-0.0,0,0.006
pctSmoking,0.209,observed_Colorectal_Per100k,2.18,1,0.044
pctElderly,0.209,observed_Colorectal_Per100k,1275.25,52,0.0
income,0.209,observed_Colorectal_Per100k,0.0,0,0.568
higherEd,0.209,observed_Colorectal_Per100k,-49.82,29,0.092
unemploy,0.209,observed_Colorectal_Per100k,-149.22,93,0.112
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.083,observed_Esophagus_Per100k,-9.75,3,0.012
n_5_2_stack_air_xylene,0.083,observed_Esophagus_Per100k,0.0,0,0.0
pctSmoking,0.083,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.083,observed_Esophagus_Per100k,132.25,13,0.0
income,0.083,observed_Esophagus_Per100k,0.0,0,0.333
higherEd,0.083,observed_Esophagus_Per100k,-0.51,4,0.903
unemploy,0.083,observed_Esophagus_Per100k,-7.67,14,0.604
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.102,observed_Kidney_Per100k,14.22,7,0.048
n_5_2_stack_air_xylene,0.102,observed_Kidney_Per100k,0.0,0,0.764
pctSmoking,0.102,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.102,observed_Kidney_Per100k,323.96,31,0.0
income,0.102,observed_Kidney_Per100k,0.0,0,0.001
higherEd,0.102,observed_Kidney_Per100k,-5.17,10,0.634
unemploy,0.102,observed_Kidney_Per100k,-107.37,30,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Larynx_Per100k,2.75,3,0.382
n_5_2_stack_air_xylene,0.042,observed_Larynx_Per100k,-0.0,0,0.396
pctSmoking,0.042,observed_Larynx_Per100k,0.82,0,0.0
pctElderly,0.042,observed_Larynx_Per100k,75.52,10,0.0
income,0.042,observed_Larynx_Per100k,-0.0,0,0.175
higherEd,0.042,observed_Larynx_Per100k,-9.47,5,0.062
unemploy,0.042,observed_Larynx_Per100k,13.73,14,0.36
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.176,observed_Leukemia_Per100k,-15.83,5,0.008
n_5_2_stack_air_xylene,0.176,observed_Leukemia_Per100k,0.0,0,0.004
pctSmoking,0.176,observed_Leukemia_Per100k,1.66,0,0.0
pctElderly,0.176,observed_Leukemia_Per100k,352.55,19,0.0
income,0.176,observed_Leukemia_Per100k,0.0,0,0.0
higherEd,0.176,observed_Leukemia_Per100k,4.69,8,0.562
unemploy,0.176,observed_Leukemia_Per100k,-84.87,23,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.042,observed_Liver_Per100k,70.17,5,0.0
n_5_2_stack_air_xylene,0.042,observed_Liver_Per100k,-0.0,0,0.0
pctSmoking,0.042,observed_Liver_Per100k,-1.33,0,0.0
pctElderly,0.042,observed_Liver_Per100k,96.76,19,0.0
income,0.042,observed_Liver_Per100k,-0.0,0,0.0
