,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.08,11,0.0
tolueneTotal,0.255,observed_Bladder_Per100k,0.0,0,0.208
pctSmoking,0.255,observed_Bladder_Per100k,5.17,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.88,26,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,4.3,13,0.756
unemploy,0.255,observed_Bladder_Per100k,-265.75,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.003,observed_Bone_Per100k,2.68,1,0.083
tolueneTotal,0.003,observed_Bone_Per100k,0.0,0,0.951
pctSmoking,0.003,observed_Bone_Per100k,-0.01,0,0.831
pctElderly,0.003,observed_Bone_Per100k,15.37,3,0.0
income,0.003,observed_Bone_Per100k,0.0,0,0.28
higherEd,0.003,observed_Bone_Per100k,-1.04,1,0.576
unemploy,0.003,observed_Bone_Per100k,5.04,5,0.338
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.061,observed_Brain_Per100k,-4.88,4,0.311
tolueneTotal,0.061,observed_Brain_Per100k,-0.0,0,0.103
pctSmoking,0.061,observed_Brain_Per100k,0.97,0,0.0
pctElderly,0.061,observed_Brain_Per100k,124.08,11,0.0
income,0.061,observed_Brain_Per100k,0.0,0,0.05
higherEd,0.061,observed_Brain_Per100k,10.44,5,0.071
unemploy,0.061,observed_Brain_Per100k,-58.53,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.87,20,0.096
tolueneTotal,0.279,observed_Breast_Per100k,-0.0,0,0.57
pctSmoking,0.279,observed_Breast_Per100k,4.47,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1309.52,47,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.22,24,0.0
unemploy,0.279,observed_Breast_Per100k,-239.26,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.75,17,0.0
tolueneTotal,0.208,observed_Colorectal_Per100k,-0.0,0,0.866
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1274.7,42,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.585
higherEd,0.208,observed_Colorectal_Per100k,-49.88,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148.76,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9.72,3,0.009
tolueneTotal,0.082,observed_Esophagus_Per100k,0.0,0,0.841
pctSmoking,0.082,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132.43,8,0.0
income,0.082,observed_Esophagus_Per100k,0.0,0,0.387
higherEd,0.082,observed_Esophagus_Per100k,-0.5,4,0.912
unemploy,0.082,observed_Esophagus_Per100k,-7.82,12,0.538
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14.24,7,0.071
tolueneTotal,0.103,observed_Kidney_Per100k,0.0,0,0.37
pctSmoking,0.103,observed_Kidney_Per100k,1.39,0,0.0
pctElderly,0.103,observed_Kidney_Per100k,323.77,18,0.0
income,0.103,observed_Kidney_Per100k,0.0,0,0.002
higherEd,0.103,observed_Kidney_Per100k,-5.05,9,0.594
