,totPop,observed_Bladder-Per100k,observed_Bone-Per100k,observed_Brain-Per100k,observed_Breast-Per100k,observed_Colorectal-Per100k,observed_Esophagus-Per100k,observed_Kidney-Per100k,observed_Larynx-Per100k,observed_Leukemia-Per100k,observed_Liver-Per100k,observed_Lung-Per100k,observed_Mesothelioma-Per100k,observed_NHL-Per100k,observed_Nasal-Per100k,observed_Oral-Per100k,observed_Other-Per100k,observed_Ovary-Per100k,observed_Pancreas-Per100k,observed_Prostate-Per100k,observed_Soft_Tissue-Per100k,observed_Stomach-Per100k,observed_Testis-Per100k,observed_Thyroid-Per100k,observed_Uterus-Per100k,observed_Total-Per100k,n_5_1_fugitive_air,n_5_2_stack_air,n_5_1_fugitive_air_benzene,n_5_2_stack_air_benzene,pctSmoking
totPop,1,-0.6220977078,0.0639067796,-0.5392660399,-0.2996573421,-0.5215641289,-0.4584086218,-0.5349505039,-0.5200135018,-0.5575787909,0.5575449921,-0.7721114217,-0.4561948417,-0.4407465875,-0.1886166802,-0.4840599974,-0.432600211,-0.2701453618,-0.2850496172,-0.4222872632,-0.1436988702,0.6736992857,-0.358226141,0.2849085593,-0.1416432417,-0.6135193629,-0.0732361839,0.0751312827,0.167052291,0.2900189359,-0.6215940335
observed_Bladder-Per100k,-0.6220977078,1,0.1540413121,0.8595988326,0.7340719862,0.7288419772,0.5054637466,0.5515612601,0.1875257332,0.5142798243,-0.5388201761,0.7916453793,0.186789618,0.5424009095,0.0058267739,0.6478348693,0.7604453792,0.5607729449,0.3653551719,0.689714824,0.1366962689,-0.4118855054,0.2927497787,0.0951931368,0.3363211039,0.8890027383,0.2200910882,0.199588113,0.1828746292,0.0714406219,0.4751575116
observed_Bone-Per100k,0.0639067796,0.1540413121,1,0.2141801129,-0.0181471546,0.230047801,0.200512577,0.0017648768,-0.0266488168,-0.1644218895,0.1623789883,0.0693737265,-0.0952837222,-0.0463055688,0.0565940303,-0.0214734103,0.303452055,0.2472490799,-0.0720783776,0.2048491242,-0.370923447,0.0861946085,-0.2606002397,0.1009526997,-0.064204365,0.1488997182,0.0334406286,0.0965022757,0.0498729319,0.0642713659,0.0001054906
observed_Brain-Per100k,-0.5392660399,0.8595988326,0.2141801129,1,0.5829670006,0.656811445,0.4820229969,0.4958494003,0.2072106377,0.4254356624,-0.3983274873,0.7079887967,-0.0705700407,0.4533061697,-0.1170994974,0.6411531257,0.6127589728,0.4482192102,0.2609937702,0.5037718379,-0.0974888252,-0.3297294729,0.1130431942,0.095362418,0.428534073,0.756018118,0.181145589,0.0534604883,0.0345595268,-0.0808026009,0.498274368
observed_Breast-Per100k,-0.2996573421,0.7340719862,-0.0181471546,0.5829670006,1,0.4627793871,0.2605742001,0.4949113972,0.1741802292,0.5139723726,-0.292594451,0.5068006607,0.2331387088,0.7682590791,0.039034622,0.4715211576,0.7112362991,0.4854484348,0.4583974988,0.5786558288,0.1868616187,-0.1672521313,0.0557169814,0.2841603503,0.6277769549,0.7997113637,0.2718557262,0.4281442605,0.3134739145,0.3121659581,0.1327130957
observed_Colorectal-Per100k,-0.5215641289,0.7288419772,0.230047801,0.656811445,0.4627793871,1,0.5325423928,0.5440886453,0.4040128999,0.4447459413,-0.3997385211,0.6250733694,0.5225104718,0.504337193,0.3049331011,0.4621815182,0.6634729269,0.5782963927,0.44434687,0.5036537689,0.2834203685,-0.0398642558,-0.0169096662,-0.0944774728,0.4868811121,0.7690982463,-0.1070866,-0.0778488977,-0.0122988325,-0.2158118697,0.3959620554
observed_Esophagus-Per100k,-0.4584086218,0.5054637466,0.200512577,0.4820229969,0.2605742001,0.5325423928,1,0.2644161066,0.2593603483,0.1246309403,0.0492303613,0.6090218131,0.1981760086,0.3090268945,0.3739174214,0.4623458858,0.3815597439,0.1117914007,0.0687517308,0.3218758945,0.0116324338,-0.2245137533,0.2118122317,-0.1134566702,0.3884306209,0.5261598475,0.1107804521,0.1033094813,0.0916114971,-0.0093760824,0.2896403237
observed_Kidney-Per100k,-0.5349505039,0.5515612601,0.0017648768,0.4958494003,0.4949113972,0.5440886453,0.2644161066,1,0.5396365939,0.7189494433,-0.3567563614,0.5236517292,0.4350509009,0.5723626226,0.0230045207,0.3454093499,0.4315010822,0.108112278,0.5942293764,0.5004795128,0.2004448359,-0.2301598274,0.012385816,0.0905215342,0.5029237715,0.6696727033,-0.0155449016,0.0521363721,0.0018178334,-0.0549683252,0.1469408941
observed_Larynx-Per100k,-0.5200135018,0.1875257332,-0.0266488168,0.2072106377,0.1741802292,0.4040128999,0.2593603483,0.5396365939,1,0.4180810114,-0.2264126997,0.6017797247,0.5902635552,0.5972804337,0.3139285579,0.3863607346,0.4355587325,0.0646553239,0.3892950256,0.1212251619,0.0199547561,-0.0681537016,-0.1055347003,-0.1122930149,0.4546314374,0.4861590917,-0.2133435694,-0.1671695488,-0.0129121469,-0.1832830601,0.4177824904
observed_Leukemia-Per100k,-0.5575787909,0.5142798243,-0.1644218895,0.4254356624,0.5139723726,0.4447459413,0.1246309403,0.7189494433,0.4180810114,1,-0.3976578254,0.4188140603,0.5358493637,0.6329663697,0.2815416648,0.4495718481,0.5543659372,0.0950065865,0.8750671687,0.611925132,0.2554435286,-0.2499715198,-0.1342589367,0.026137557,0.5312814965,0.6818597843,0.0936130912,0.1226024423,0.0895063734,-0.0022297675,0.2439690983
