,geoid11,tractFIPS_x,totPop_x,observed_Bladder_Per100k,observed_Bone_Per100k,observed_Brain_Per100k,observed_Breast_Per100k,observed_Colorectal_Per100k,observed_Esophagus_Per100k,observed_Kidney_Per100k,observed_Larynx_Per100k,observed_Leukemia_Per100k,observed_Liver_Per100k,observed_Lung_Per100k,observed_Mesothelioma_Per100k,observed_NHL_Per100k,observed_Nasal_Per100k,observed_Oral_Per100k,observed_Other_Per100k,observed_Ovary_Per100k,observed_Pancreas_Per100k,observed_Prostate_Per100k,observed_Soft_Tissue_Per100k,observed_Stomach_Per100k,observed_Testis_Per100k,observed_Thyroid_Per100k,observed_Uterus_Per100k,observed_Total_Per100k,n_5_1_fugitive_air,n_5_2_stack_air,airTotal,n_5_1_fugitive_air_benzene,n_5_2_stack_air_benzene,benzeneTotal,n_5_1_fugitive_air_toluene,n_5_2_stack_air_toluene,tolueneTotal,n_5_1_fugitive_air_ethylbenzene,n_5_2_stack_air_ethylbenzene,ethylbenzeneTotal,n_5_1_fugitive_air_xylene,n_5_2_stack_air_xylene,xyleneTotal,n_5_1_fugitive_air_formaldehyde,n_5_2_stack_air_formaldehyde,formaldehydeTotal,BTEX_fugitive,BTEX_stack,BTEX_total,countyCode,County Name,pctSmoking,95% CI,Location,cCode,Geo_FIPS,totPop_y,pctMale,pctElderly,income,countyFIPS,tractFIPS_y,higherEd,unemploy
0,36001000100,001000100,2151,232.450023245,0.0,0.0,92.980009298,139.470013947,46.490004649,46.490004649,0.0,46.490004649,0.0,557.880055788,0.0,185.960018596,0.0,0.0,511.390051139,46.490004649,0.0,371.920037192,0.0,92.980009298,46.490004649,0.0,46.490004649,2463.9702464,431.964,42.3,474.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,1.55,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000100,2151,0.52580195258,0.0757787075779,37619.0,001,001000100,0.394957983193,0.155963302752
1,36001000200,001000200,5024,19.9044585987,0.0,19.9044585987,238.853503185,79.6178343949,0.0,19.9044585987,19.9044585987,19.9044585987,139.331210191,258.757961783,0.0,79.6178343949,0.0,59.7133757962,179.140127389,0.0,19.9044585987,159.23566879,0.0,39.8089171975,0.0,0.0,59.7133757962,1413.21656051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000200,5024,0.491441082803,0.0732484076433,26552.0,001,001000200,0.360342019544,0.0618556701031
2,36001000300,001000300,6132,163.078930202,0.0,48.9236790607,163.078930202,309.849967384,48.9236790607,97.8473581213,81.5394651011,48.9236790607,32.6157860404,521.852576647,0.0,97.8473581213,0.0,48.9236790607,358.773646445,81.5394651011,48.9236790607,472.928897586,16.3078930202,48.9236790607,16.3078930202,65.2315720809,48.9236790607,2821.2654925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000300,6132,0.485159817352,0.151337247228,38750.0,001,001000300,0.415695415695,0.0892791803879
3,36001000401,001000401,2185,274.599542334,0.0,45.766590389,732.265446224,503.432494279,45.766590389,91.533180778,0.0,183.066361556,0.0,640.732265446,0.0,137.299771167,0.0,45.766590389,1052.63157895,91.533180778,274.599542334,411.899313501,91.533180778,45.766590389,0.0,0.0,274.599542334,4942.79176201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000401,2185,0.391304347826,0.528604118993,62039.0,001,001000401,0.641987829615,0.0373532550694
4,36001000403,001000403,4356,206.611570248,0.0,22.9568411387,413.223140496,229.568411387,45.9136822773,114.784205693,45.9136822773,91.8273645546,68.870523416,482.093663912,0.0,137.741046832,0.0,91.8273645546,459.136822773,45.9136822773,45.9136822773,642.791551882,22.9568411387,45.9136822773,68.870523416,114.784205693,68.870523416,3466.48301194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000403,4356,0.451561065197,0.159550045914,53644.0,001,001000403,0.786752827141,0.0572755417957
5,36001000501,001000501,3456,57.8703703704,28.9351851852,0.0,57.8703703704,144.675925926,28.9351851852,0.0,0.0,0.0,57.8703703704,202.546296296,28.9351851852,0.0,0.0,0.0,173.611111111,0.0,28.9351851852,144.675925926,0.0,28.9351851852,0.0,0.0,115.740740741,1099.53703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000501,3456,0.525462962963,0.112268518519,24771.0,001,001000501,0.468883610451,0.0952941176471
6,36001000600,001000600,3394,0.0,0.0,58.9275191514,0.0,29.4637595757,0.0,0.0,0.0,29.4637595757,58.9275191514,176.782557454,29.4637595757,29.4637595757,0.0,0.0,58.9275191514,29.4637595757,0.0,58.9275191514,0.0,0.0,0.0,0.0,0.0,559.811431939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000600,3394,0.505008839128,0.0474366529169,21694.0,001,001000600,0.61,0.135290363752
7,36001000700,001000700,3729,0.0,26.8168409761,53.6336819523,348.61893269,268.168409761,53.6336819523,80.4505229284,53.6336819523,26.8168409761,0.0,348.61893269,0.0,134.084204881,0.0,53.6336819523,402.252614642,0.0,53.6336819523,348.61893269,0.0,53.6336819523,0.0,107.267363905,26.8168409761,2440.33252883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000700,3729,0.408688656476,0.0946634486457,30786.0,001,001000700,0.444444444444,0.161073825503
8,36001000800,001000800,2049,0.0,0.0,48.8042947779,97.6085895559,146.412884334,97.6085895559,0.0,0.0,0.0,0.0,146.412884334,0.0,48.8042947779,0.0,0.0,97.6085895559,0.0,48.8042947779,48.8042947779,0.0,0.0,0.0,0.0,0.0,780.868716447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001000800,2049,0.559785261103,0.109321620303,28393.0,001,001000800,0.395388556789,0.161395856052
9,36001001100,001001100,804,124.378109453,0.0,124.378109453,497.512437811,870.646766169,248.756218905,0.0,124.378109453,497.512437811,621.890547264,1616.91542289,0.0,621.890547264,0.0,124.378109453,1119.40298507,0.0,248.756218905,1243.78109453,0.0,124.378109453,0.0,248.756218905,124.378109453,8582.08955224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001001100,804,0.614427860697,0.146766169154,13491.0,001,001001100,0.422580645161,0.138271604938
10,36001001400,001001400,3767,0.0,26.5463233342,0.0,318.555880011,132.731616671,26.5463233342,53.0926466684,0.0,53.0926466684,0.0,79.6389700027,0.0,79.6389700027,0.0,106.185293337,212.370586674,26.5463233342,79.6389700027,185.82426334,0.0,79.6389700027,26.5463233342,53.0926466684,26.5463233342,1566.23307672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001001400,3767,0.588266525086,0.0528271834351,34435.0,001,001001400,0.833542976939,0.0682123655914
11,36001001500,001001500,4375,45.7142857143,0.0,0.0,137.142857143,45.7142857143,0.0,22.8571428571,22.8571428571,45.7142857143,22.8571428571,114.285714286,0.0,0.0,0.0,22.8571428571,160.0,0.0,22.8571428571,45.7142857143,22.8571428571,0.0,0.0,0.0,22.8571428571,754.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001,ALBANY,17.0,(12.8-21.1),"(42.678066, -73.814233)",001,36001001500,4375,0.510628571429,0.0772571428571,25440.0,001,001001500,0.655377302436,0.073756432247
